HD,constellation,Star,ColorIndex,Distance,AbsMag
14802,Fornax,,0.608,21.9298245614,3.4848242133
15008,Hydrus,,0.034,41.4937759336,0.9900852129
15089,Cassiopeia,,0.153,43.4027777778,1.2724123738
15228,Cetus,,0.45,36.3636363636,3.6466634692
15233,Horologium,,0.395,49.0196078431,1.9081508371
15257,Triangulum,,0.311,47.5963826749,1.902130262
15335,Triangulum,,0.591,30.7881773399,3.4480801028
15427,Fornax,,0.089,46.8384074941,1.7769893968
15798,Cetus,,0.454,25.8197779499,2.6802374849
15814,Aries,,0.572,28.7026406429,3.7103907317
16141,Cetus,,0.67,35.9066427289,4.0541259975
16160,Cetus,,0.918,7.2087658593,6.5006954007
16232,Aries,,0.41,39.4321766562,4.120746246
16234,Aries,,0.516,35.2112676056,2.9065917002
16246,Aries,,0.51,40.1284109149,3.4627401899
16417,Fornax,,0.653,25.5362614913,3.7442134157
16538,Fornax,,0.476,35.7270453733,3.0750144923
16555,Horologium,,0.289,44.4642063139,2.0599472772
16620,Cetus,,0.447,27.0343336037,2.6704216566
16673,Cetus,,0.524,21.5424386041,4.1235256806
16739,Perseus,,0.582,24.6791707799,2.9483471834
16754,Eridanus,,0.061,39.7614314115,1.742689947
16765,Cetus,,0.511,21.6262975779,4.0450891271
16815,Eridanus,,1.006,44.6030330062,0.8631780413
16825,Cetus,,0.429,49.2853622474,2.5164102352
16895,Perseus,,0.514,11.2321689318,3.8476818669
16920,Horologium,,0.411,48.8042947779,1.767709792
16970,Cetus,,0.093,25.1382604324,1.4683238939
16978,Hydrus,,-0.061,47.0145745181,0.7588374495
17051,Horologium,,0.561,17.2413793103,4.2171399678
17093,Aries,UV Ari,0.234,38.240917782,2.257358466
17094,Cetus,,0.311,25.8331180573,2.2091158566
17206,Eridanus,,0.481,13.9742873113,3.7433516595
17573,Aries,,-0.1,48.8997555012,0.1634665617
17584,Perseus,,0.343,39.1542678152,1.2561044646
17948,Cassiopeia,,0.445,26.4690312335,3.4763097679
