HD,constellation,Star,ColorIndex,Distance,AbsMag
91480,UrsaMajor,,0.349,26.455026455,3.0474589992
91752,LeoMinor,,0.436,46.2962962963,2.9622687558
91889,Hydra,,0.528,24.5881485124,3.756370862
92139,Vela,,0.3,26.518164943,1.722282662
92168,LeoMinor,,0.595,48.9236790607,2.3924044573
92588,Sextans,,0.88,34.3878954608,3.5679720109
92769,LeoMinor,,0.16,45.4545454545,2.2221134041
92787,UrsaMajor,,0.324,35.6506238859,2.419664328
93497,Vela,,0.901,35.4861603974,-0.0602950561
93813,Hydra,,1.232,42.4808836024,-0.0309677075
94132,UrsaMajor,,1.01,43.4404865334,2.7205265965
94264,LeoMinor,,1.04,29.9401197605,1.4087323341
94388,Hydra,,0.48,31.3381385146,2.749634021
94510,Carina,,0.945,29.6647878968,1.4187937626
94672,Leo,,0.425,43.7636761488,2.704431022
95128,UrsaMajor,Chalawan,0.624,14.0765765766,4.2875147639
95221,Hydra,,0.374,48.6381322957,2.2651155516
95382,Leo,,0.166,46.2748727441,1.6532738344
95418,UrsaMajor,Merak,0.033,24.3486729973,0.4076235143
95608,Leo,,0.053,37.9218809253,1.525550649
95689,UrsaMajor,Dubhe,1.061,37.9075056861,-1.0836260439
95735,UrsaMajor,,1.502,2.5484199796,10.4586449935
96097,Leo,,0.332,28.95193978,2.3116116662
96202,Hydra,,0.369,43.5161009574,1.7267501218
96833,UrsaMajor,,1.144,45.02476362,-0.2672572073
97495,Centaurus,,0.175,49.9500499501,1.8773203657
97603,Leo,Zosma,0.128,17.6928520878,1.3210107659
98231,UrsaMajor,Alula Australis,0.59,10.4166666667,4.2413561652
98560,Carina,,0.471,37.4251497006,3.124182269
98991,Crater,,0.439,43.8596491228,1.869674235
99028,Leo,,0.423,24.2365487155,2.0776461182
99211,Crater,,0.216,25.706940874,2.0097480066
99285,Leo,,0.39,47.2813238771,2.2065518586
99453,Centaurus,,0.495,27.4273176083,2.9890833216
99453,Centaurus,,0.495,27.4273176083,2.9890833216
99453,Vela,,0.495,27.4273176083,2.9890833216
99453,Vela,,0.495,27.4273176083,2.9890833216
99491,Leo,,0.778,17.6709666019,5.2536984697
99747,UrsaMajor,,0.382,32.8947368421,3.244367918
100180,Leo,,0.57,23.0308613542,4.4584490956
100203,UrsaMajor,,0.515,27.5178866263,3.2619246149
100286,Hydra,,0.54,26.7094017094,2.7966792003
100407,Hydra,,0.947,39.6353547364,0.5495862526
100563,Leo,,0.48,26.5604249668,3.6388249027
100623,Hydra,,0.811,9.5383441435,6.0626350614
101107,UrsaMajor,,0.348,45.6412596988,2.2632118878
101132,Chamaeleon,,0.362,42.1052631579,2.5183180698
101198,Crater,,0.52,26.9832703724,3.3245270749
101501,UrsaMajor,,0.723,9.541074325,5.4120136049
101606,UrsaMajor,,0.44,40.95004095,2.668728298
102124,Virgo,,0.174,36.6434591425,2.0200176783
102249,Musca,,0.16,39.3391030685,0.6558777311
102365,Centaurus,,0.664,9.2395823709,5.0617382922
102647,Leo,Denebola,0.09,11.091393079,1.9150695152
102870,Virgo,Zavijava,0.518,10.9003706126,3.402793679
103026,Hydra,,0.554,31.4366551399,3.3628183455
103095,UrsaMajor,CF UMa,0.754,9.1566706346,6.6113120355
103287,UrsaMajor,Phecda,0.044,25.6476019492,0.3647661759
104304,Virgo,,0.76,12.9065565307,4.9859480602
104513,UrsaMajor,DP UMa,0.283,33.921302578,2.5676373959
104731,Centaurus,,0.417,24.2013552759,3.2308015642
104747,Centaurus,,0.5,46.6635557629,3.1651108552
105211,Crux,,0.353,19.6889151408,2.6688910641
105452,Corvus,Alchiba,0.334,14.7688672279,3.173264069
105702,Virgo,,0.352,43.840420868,2.5106264264
106112,Camelopardalis,,0.358,33.67003367,2.5037822466
106251,Virgo,,0.262,49.5540138751,2.3746058095
106591,UrsaMajor,Megrez,0.077,24.9687890137,1.3330126021
107213,ComaBerenices,,0.523,49.7017892644,2.8981398819
107325,ComaBerenices,,1.091,48.1231953802,2.1082277161
107705,Virgo,,0.567,29.8240381748,4.0871677671
108767,Corvus,Algorab,-0.012,26.9469145783,0.7874547717
108845,CanesVenatici,,0.536,45.1467268623,2.9368686528
108903,Crux,Gacrux,1.6,26.9614451335,-0.5637158334
109085,Corvus,,0.388,18.2083029862,2.9986526428
109141,Corvus,,0.376,36.9549150037,2.9016389613
109272,Corvus,,0.861,48.5908649174,2.1472268521
109358,CanesVenatici,Chara,0.588,8.3710028461,4.6261125521
109379,Corvus,,0.893,42.8449014567,-0.5094957415
109409,Centaurus,,0.683,28.3687943262,3.4957956066
109536,Centaurus,,0.224,34.5781466113,2.4259914431
109787,Centaurus,,0.049,40.3714170367,0.8196300329
109799,Hydra,,0.334,34.5901072293,2.7152404584
110304,Centaurus,,-0.023,39.9840063974,-0.8094315413
110379,Virgo,Porrima,0.368,11.8301194842,2.3750543449
110411,Virgo,,0.076,36.9003690037,2.0448464544
110829,Crux,,1.049,38.211692778,1.7790186132
110897,CanesVenatici,,0.557,17.3701580684,4.7509811473
111028,Virgo,,0.989,44.7227191413,2.3973589961
111456,UrsaMajor,,0.467,24.1604252235,3.914477132
111968,Centaurus,,0.224,47.5511174513,0.8641963634
111998,Virgo,,0.493,32.5203252033,3.5492256006
112164,Centaurus,,0.633,39.7298371077,2.8944160777
112185,UrsaMajor,Alioth,-0.022,24.8138957816,-0.2134747693
112412,CanesVenatici,,0.337,25.0312891114,3.6175839183
112413,CanesVenatici,Cor Caroli,-0.115,33.7837837838,0.2464585553
112429,Draco,,0.303,28.8433804442,2.9297692083
112985,Musca,,1.19,27.8473962684,1.3860770256
113139,UrsaMajor,,0.368,24.9625561658,2.9435547248
113226,Virgo,Vindemiatrix,0.934,31.3479623824,0.3689534153
113848,ComaBerenices,,0.393,49.9251123315,2.5084047465
114371,Musca,,0.415,44.1111601235,2.6972576006
114378,ComaBerenices,,0.455,14.3245953302,3.53958819
114613,Centaurus,,0.693,20.4792135982,3.2934336214
114642,Virgo,,0.46,32.5520833333,2.4771060568
114642,Virgo,,0.46,32.5520833333,2.4771060568
114642,Puppis,,0.46,32.5520833333,2.4771060568
114642,Puppis,,0.46,32.5520833333,2.4771060568
114710,ComaBerenices,,0.572,9.1549940493,4.4217096683
114837,Centaurus,,0.489,18.0212650928,3.6210736241
114946,Virgo,,0.862,38.6249517188,2.3756602522
115202,Virgo,,1.011,38.9408099688,2.257975097
115383,Virgo,,0.585,17.9500987255,3.9196657923
115617,Virgo,,0.709,8.5251491901,5.0864900606
115659,Hydra,,0.92,40.5022276225,-0.0473945503
115892,Centaurus,,0.068,17.9726815241,1.4769356066
116457,Centaurus,,0.411,39.2927308448,2.3484389334
116568,Virgo,,0.415,30.0932891965,3.3676517064
116656,UrsaMajor,Mizar,0.057,23.9635753654,0.3322419236
116657,UrsaMajor,,0.13,24.154589372,2.0350017056
116842,UrsaMajor,Alcor,0.169,24.8818113959,2.010590031
117176,Virgo,,0.714,18.1093806592,3.6804820115
117360,Chamaeleon,S Cha,0.455,35.1493848858,3.7904113537
118098,Virgo,,0.114,22.4466891134,1.6242385419
118216,CanesVenatici,BH CVn,0.404,44.5235975067,1.6670487596
118261,Centaurus,,0.493,35.4861603974,2.8797049439
118646,Hydra,,0.431,48.971596474,2.3602786888
119756,Centaurus,,0.39,19.2641109613,2.8062551444
120136,Bootes,,0.508,15.5957579538,3.5349675684
120315,UrsaMajor,Alkaid,-0.099,30.8737264588,-0.5979452599
121370,Bootes,Muphrid,0.58,11.3417262107,2.406604204
123123,Hydra,,1.091,31.0848616724,0.7872553045
123139,Centaurus,Menkent,1.011,18.6846038864,0.7025805238
123998,Apus,,0.243,42.8082191781,1.7323641922
123999,Bootes,,0.541,36.6703337,1.9984256897
124570,Bootes,,0.537,33.2667997339,2.9199448813
124675,Bootes,,0.233,47.5511174513,1.1441963634
124850,Virgo,Syrma,0.511,21.3949507916,2.4184435403
124897,Bootes,Arcturus,1.239,11.2549240293,-0.3067128393
125158,Centaurus,,0.281,48.3325277912,1.7988024533
125161,Bootes,,0.236,29.8151460942,2.3778152914
125162,Bootes,,0.087,29.7796307326,1.810403459
125276,Hydra,,0.518,17.7841010137,4.6198404175
125442,Lupus,,0.31,45.5580865604,1.4871726229
125451,Bootes,,0.385,26.08922515,3.3276940963
126248,Virgo,,0.124,46.3821892393,1.7682437826
126660,Bootes,,0.497,14.570887367,3.2225699945
126868,Virgo,,0.693,41.4078674948,1.7245856754
127665,Bootes,,1.298,45.6204379562,0.2742027491
127762,Bootes,Seginus,0.191,26.1164794986,0.9554268317
128167,Bootes,,0.364,15.4655119084,3.5231785014
128167,Bootes,,0.364,15.4655119084,3.5231785014
128167,Lupus,,0.364,15.4655119084,3.5231785014
128167,Lupus,,0.364,15.4655119084,3.5231785014
128620,Centaurus,Rigil Kentaurus,0.71,1.3474909718,4.3423706795
128621,Centaurus,,0.9,1.3474909718,5.7023706795
128898,Circinus,,0.256,16.4015089388,2.1055809751
129422,Circinus,,0.308,45.9770114943,2.0472963065
129502,Virgo,,0.385,18.6776242062,2.5133918343
129798,Draco,DL Dra,0.409,42.60758415,3.092565448
129926,Unknown,,0.315,30.432136336,2.7333377955
130109,Virgo,,-0.005,39.4477317554,0.7498898183
130819,Libra,,0.401,23.6630383341,3.2796474636
130841,Libra,Zubenelgenubi,0.147,23.6686390533,0.8791335664
130945,Bootes,Merga,0.482,46.8603561387,2.4059720754
130948,Bootes,,0.576,17.9436569173,4.5904452153
131156,Bootes,,0.72,6.6997186118,5.4097171864
131873,UrsaMinor,Kochab,1.465,38.7747188833,-0.8727432893
131977,Libra,,1.024,5.9059768486,6.863541299
132052,Libra,,0.318,27.9095729835,2.2412340408
132254,Bootes,,0.533,24.8447204969,3.6538294235
133002,UrsaMinor,,0.671,43.3275563258,2.4461790224
133621,UrsaMinor,,0.631,33.7040781935,4.0015877316
133640,Bootes,i Boo,0.647,12.7567291746,4.3013033222
134083,Bootes,,0.429,19.7238658777,3.4550397967
134505,Lupus,,0.918,35.6379187455,0.6504383335
134987,Libra,,0.691,25.6541816316,4.4242091739
135379,Circinus,,0.088,29.6296296296,1.7113688858
135559,SerpensCaput,,0.181,49.504950495,2.1467568472
135722,Bootes,,0.961,35.7909806729,0.6911320089
135742,Libra,Zubeneschamali,-0.071,49.0677134446,-0.8439791016
136064,UrsaMinor,,0.55,25.3100480891,3.1335351484
136202,SerpensCaput,MQ Ser,0.54,24.7157686604,3.0751293922
136351,Lupus,,0.515,34.1646737274,2.3221136122
136352,Lupus,,0.639,14.5560407569,4.8347836853
136359,Circinus,,0.489,41.6666666667,2.5510562086
137052,Libra,,0.453,32.3624595469,2.3697923971
137107,CoronaBorealis,,0.577,18.6219739292,3.6398714285
137391,Bootes,Alkalurops,0.309,37.0919881306,1.4635994393
137392,Bootes,,0.6,37.2856077554,3.6522938676
137759,Draco,Edasich,1.166,31.328320802,0.8103144134
137898,SerpensCaput,,0.245,37.4812593703,2.2809291262
137909,CoronaBorealis,Nusakan,0.319,34.965034965,0.9418301656
138716,Libra,,1,28.95193978,2.3016116662
138905,Libra,,1.007,46.685340803,0.5640973325
139006,CoronaBorealis,Alphecca,0.032,22.9095074456,0.4199212402
139211,Norma,,0.505,30.9214594929,3.4987000779
139225,SerpensCaput,,0.354,49.0196078431,2.4781508371
139641,Bootes,,0.886,50,1.7551499783
139664,Lupus,,0.413,17.5162024873,3.422800215
139777,UrsaMinor,,0.665,22.0653133274,4.851449506
139798,Bootes,,0.353,35.739814153,2.9942385508
139813,UrsaMinor,,0.803,21.7155266015,5.6161481727
140417,Libra,,0.238,45.02476362,2.1427427927
140436,CoronaBorealis,,0.02,44.4839857651,0.5689815345
140538,SerpensCaput,,0.684,14.6713615023,5.0276479088
140573,SerpensCaput,Unukalhai,1.167,22.4517287831,0.8737510635
141003,SerpensCaput,,0.073,46.9263256687,0.2929172486
141004,SerpensCaput,,0.604,11.7536436295,4.0691374062
141378,Libra,,0.12,49.1642084562,2.0717547429
141513,SerpensCaput,,-0.036,47.7554918816,0.1448833867
141795,SerpensCaput,,0.147,21.5563699073,2.0421218626
141851,SerpensCaput,,0.135,48.8519785051,1.6455892133
141891,TriangulumAustrale,,0.315,12.3092072871,2.3788495737
142091,CoronaBorealis,,0.996,31.1235605353,2.3245536278
142198,Libra,,1.003,49.9500499501,0.6373203657
142267,SerpensCaput,,0.598,17.4611489436,4.8596359156
142373,Hercules,,0.563,15.8528852251,3.5994584233
142860,SerpensCaput,,0.478,11.1209964413,3.6192814911
142908,CoronaBorealis,,0.352,41.4593698176,2.3418865173
143333,Libra,,0.517,32.79763857,2.8907871218
143466,Draco,CL Dra,0.269,33.8180588434,2.3142566226
143474,Norma,,0.252,42.9922613929,1.463048552
143761,CoronaBorealis,,0.612,17.4276751481,4.1838027195
143928,Lupus,,0.409,39.8406374502,2.9083686074
144070,Scorpius,,0.45,24.3309002433,2.9092091094
144197,Norma,,0.23,37.8644452859,1.838842006
144284,Draco,,0.528,20.9248796819,2.4066851526
145148,SerpensCaput,,0.988,30.4506699147,3.5120157422
145328,CoronaBorealis,,1.015,34.6740638003,2.0299762802
145328,CoronaBorealis,,1.015,34.6740638003,2.0299762802
145328,UrsaMajor,,1.015,34.6740638003,2.0299762802
145328,UrsaMajor,,1.015,34.6740638003,2.0299762802
145675,Hercules,,0.877,18.1455271276,5.3161520551
145958,Hercules,,0.764,24.3605359318,4.7465658073
146233,Scorpius,,0.652,14.0252454418,4.7554476493
146361,CoronaBorealis,TZ CrB,0.599,21.6872695728,3.5489756111
146624,Scorpius,,0.008,43.0477830392,1.630246049
146686,Norma,,1.08,39.0930414386,1.0495027007
146791,Ophiuchus,Yed Posterior,0.966,32.9597890574,0.6400778823
146836,Scorpius,,0.466,41.4937759336,2.4400852129
147365,Hercules,,0.41,26.8168409761,3.3379619168
147449,SerpensCaput,,0.338,27.352297593,2.6350309353
147513,Scorpius,,0.625,12.8716694555,4.8218256072
147584,TriangulumAustrale,,0.555,12.1050720252,4.4851631108
147675,Apus,,0.923,48.9236790607,0.4124044573
147787,TriangulumAustrale,,0.383,40.404040404,2.2478760163
148048,UrsaMinor,,0.393,29.8329355609,2.5765200498
148367,Ophiuchus,,0.185,37.4953130859,1.7501150784
148387,Draco,,0.91,26.8961807423,0.5815469272
148856,Hercules,Kornephoros,0.947,45.3103760761,-0.5009883342
149324,Apus,,1.06,48.3325277912,0.8088024533
149661,Ophiuchus,V2133 Oph,0.827,9.7780385255,5.8187412797
149681,UrsaMinor,,0.249,42.3549343499,2.4154799354
150453,Ophiuchus,,0.436,42.5531914894,2.4053393114
150680,Hercules,,0.65,10.795638562,2.6437583203
150682,Hercules,,0.402,42.8265524625,2.7614344245
150997,Hercules,,0.916,34.3524562006,0.8002110272
151090,Hercules,,0.89,47.4833808167,3.1672918342
151613,Draco,,0.375,26.7308206362,2.704938541
151680,Scorpius,,1.144,20.0601805416,0.7783258132
151769,Ophiuchus,,0.478,36.9822485207,1.8000334363
152311,Ophiuchus,,0.685,27.9876854184,3.625165081
152334,Scorpius,,1.393,46.1467466544,0.2992945566
152598,Hercules,,0.319,30.03003003,2.9522211675
153210,Ophiuchus,,1.16,26.3227165043,1.0883464678
153363,Ophiuchus,,0.407,33.2778702163,3.1292223817
153580,Ara,,0.498,26.3365815117,3.1672029857
153597,Draco,,0.481,15.0875075438,3.9869124987
153808,Hercules,,-0.018,49.9001996008,0.429488586
154417,Ophiuchus,V2213 Oph,0.578,20.3832042397,4.4536377194
154494,Hercules,,0.125,44.0917107584,1.6682152511
154905,Draco,,0.471,26.9687162891,2.7556986274
154906,Draco,,0.47,23.2558139535,3.7973422779
155078,Ophiuchus,,0.465,40.338846309,2.4013826338
155125,Ophiuchus,Sabik,0.059,25.793139025,0.372479005
155125,Ophiuchus,,0.059,25.793139025,0.372479005
155125,Bootes,Sabik,0.059,25.793139025,0.372479005
155125,Bootes,,0.059,25.793139025,0.372479005
155203,Scorpius,,0.441,21.9490781387,1.612918577
155826,Scorpius,,0.58,30.6748466258,3.5160880003
155885,Ophiuchus,,0.855,5.9851568111,5.444622333
155886,Ophiuchus,,0.85,5.9851568111,6.184622333
156164,Hercules,Sarin,0.08,24.0673886883,1.2128551406
156274,Ara,,0.764,8.7865741148,5.7509021167
156295,Draco,,0.216,41.6493127863,2.4419608003
156384,Scorpius,,1.082,6.9710700593,6.6935027629
156384,Scorpius,,1.082,6.9710700593,6.6935027629
156384,Cetus,,1.082,6.9710700593,6.6935027629
156384,Cetus,,1.082,6.9710700593,6.6935027629
156897,Ophiuchus,,0.394,17.3973556019,3.1875837973
157214,Hercules,,0.619,14.3926309729,4.5892990489
157728,Hercules,,0.229,42.7899015832,2.543293562
157792,Ophiuchus,,0.283,25.6673511294,2.113094741
157919,Ophiuchus,,0.402,34.1763499658,1.6113716089
157950,Ophiuchus,,0.385,30.0480769231,2.1409165881
158614,Ophiuchus,,0.715,16.4473684211,4.2295178964
159170,Ophiuchus,,0.187,48.4027105518,2.1856515859
159332,Hercules,,0.505,36.6837857667,2.8276292575
159433,Scorpius,,1.075,44.1696113074,1.0343821126
159492,Ara,,0.195,42.1762969211,2.1246577699
159541,Draco,,0.251,30.3398058252,2.4799360151
159560,Draco,,0.279,30.637254902,2.4287507504
159561,Ophiuchus,Rasalhague,0.155,14.3184421535,1.3005211535
159876,SerpensCauda,,0.262,32.3310701584,0.9918996
160032,Ara,,0.415,21.8722659668,3.0605311086
160269,Draco,,0.602,14.0884756269,4.4856799751
160691,Ara,Cervantes,0.694,15.2765047357,4.1998800049
160910,Hercules,,0.387,35.5239786856,2.7873919959
160915,Ophiuchus,,0.469,17.5438596491,3.6393742784
160922,Draco,,0.43,23.4631628344,2.9180672269
161096,Ophiuchus,Cebalrai,1.168,25.1382604324,0.7583238939
161239,Hercules,,0.683,38.2701875239,2.8156970486
161797,Hercules,,0.75,8.3998320034,3.7986469987
161868,Ophiuchus,,0.043,29.0528762347,1.43405433
161892,Scorpius,,1.192,38.8953714508,0.2405103832
162003,Draco,,0.434,22.0361392684,2.8543224577
162004,Draco,,0.53,22.3214285714,4.06639007
162917,Ophiuchus,,0.425,31.3774709758,3.2869103174
163588,Draco,Grumium,1.177,34.1763499658,1.0613716089
163917,Ophiuchus,,0.987,46.8384074941,-0.0330106032
163989,Draco,,0.518,32.1233536781,2.4858956034
163993,Hercules,,0.935,41.4593698176,0.6118865173
164058,Draco,Eltanin,1.521,45.2488687783,-1.0380386316
164259,SerpensCauda,,0.39,23.1964741359,2.7928901143
165040,Pavo,,0.228,42.4628450106,1.1899545573
165135,Sagittarius,Alnasl,0.981,29.4637595757,0.6335591899
165185,Sagittarius,,0.615,17.3671413685,4.7413583027
165189,CoronaAustralis,,0.255,43.8788942519,1.7087216259
165259,Apus,,0.464,40.8496732026,2.8040570674
165341,Ophiuchus,,0.86,5.0859525989,5.4981384588
165438,SerpensCauda,,0.968,34.9528137015,3.022589289
165499,Pavo,,0.592,17.7556818182,4.2233132307
165777,Ophiuchus,,0.159,25.3807106599,1.6874811091
165908,Hercules,,0.528,15.6543519098,4.0768245373
166285,Ophiuchus,,0.49,46.9483568075,2.3118980172
166926,UrsaMinor,,0.239,47.8927203065,2.3786524717
167042,Draco,,0.943,50,2.4751499783
167618,Sagittarius,,1.582,45.7247370828,-0.2007560848
168151,Draco,,0.44,23.4962406015,3.1350080964
168387,Ophiuchus,,1.084,44.964028777,2.1456739146
168723,SerpensCauda,,0.941,18.9358076122,1.8435808374
169022,Sagittarius,Kaus Australis,-0.031,44.3458980044,-1.4442672689
169414,Hercules,,1.168,39.3700787402,0.8741685831
169767,Telescopium,,0.995,39.0625,1.1411998266
169830,Sagittarius,,0.517,36.3240101707,3.099031057
169916,Sagittarius,Kaus Borealis,1.025,23.6966824645,0.9465622548
170153,Draco,,0.489,8.0573684635,4.0190338781
171802,Ophiuchus,,0.387,38.8349514563,2.4338861669
171834,Ophiuchus,,0.386,31.7158261973,2.9236198537
172051,Sagittarius,,0.673,12.9836406128,5.2830175714
172167,Lyra,Vega,-0.001,7.7561467463,0.5817699133
172555,Pavo,,0.199,29.2312189418,2.4507653709
173582,Lyra,,0.17,49.7512437811,1.1859802871
173607,Lyra,,0.18,49.1642084562,1.1317547429
173648,Lyra,,0.192,47.1031559114,0.9747499708
173649,Lyra,,0.285,46.0405156538,2.4142991046
173667,Hercules,,0.483,19.0949016613,2.7854128695
173880,Hercules,,0.148,28.4333238556,2.0708618416
175225,Draco,,0.843,26.0960334029,3.427127502
175317,Sagittarius,,0.445,32.0102432778,3.033555126
175638,SerpensCauda,Alya,0.161,40.4367165386,1.5861205818
175639,SerpensCauda,,0.204,43.7828371278,1.7734804979
175813,CoronaAustralis,,0.396,29.9132515704,2.450681883
176051,Lyra,,0.594,14.9790293589,4.32258164
176303,Aquila,,0.573,47.6417341591,1.8800621929
176411,Aquila,,1.082,47.1253534402,0.6537268978
176678,Aquila,,1.079,45.5580865604,0.7271726229
176687,Sagittarius,Ascella,0.062,27.3149412729,0.4179986444
177196,Lyra,,0.186,39.1542678152,2.0361044646
177241,Sagittarius,,1.012,42.5713069391,0.6144150839
177389,Pavo,,0.901,36.8595650571,2.4772489688
177474,CoronaAustralis,,0.523,17.8922884237,2.9666705481
177716,Sagittarius,,1.169,36.9139904024,0.4840450252
177724,Aquila,,0.014,25.5232261358,0.9553221583
177756,Aquila,,-0.096,38.3877159309,0.5090386382
178233,Lyra,,0.296,40.8163265306,2.4758304218
178253,CoronaAustralis,,0.042,39.7614314115,1.112689947
178449,Lyra,,0.367,40.5844155844,2.1582035175
178596,Aquila,,0.346,43.5540069686,2.0348594186
179957,Cygnus,,0.666,24.9003984064,3.8689685207
180610,Draco,,1.156,49.6524329692,1.5202973311
180610,Draco,,1.156,49.6524329692,1.5202973311
180610,Cassiopeia,,1.156,49.6524329692,1.5202973311
180610,Cassiopeia,,1.156,49.6524329692,1.5202973311
180711,Draco,Altais,0.99,30.7314074985,0.632087743
180777,Draco,,0.308,27.2925764192,2.929777325
181276,Cygnus,,0.95,37.7643504532,0.9145899038
181296,Telescopium,,0.02,47.664442326,1.6390274193
181391,Aquila,,0.937,47.2366556448,1.6086042901
181577,Sagittarius,,0.228,37.3273609556,1.059863568
181577,Sagittarius,,0.228,37.3273609556,1.059863568
181577,Draco,,0.228,37.3273609556,1.059863568
181577,Draco,,0.228,37.3273609556,1.059863568
181623,Sagittarius,Arkab Posterior,0.35,42.5170068027,1.127186587
181984,Draco,,1.257,46.0193281178,1.1352986316
182572,Aquila,,0.761,15.1492198152,4.2680486638
182640,Aquila,,0.319,15.3727901614,2.4262365045
183028,Telescopium,,0.45,36.6972477064,3.4668325331
184006,Cygnus,,0.148,37.5516334961,0.8868558322
184406,Aquila,,1.176,33.8983050847,1.7991100799
184960,Cygnus,,0.475,25.5885363357,3.6697727752
184985,Sagittarius,,0.501,30.9023485785,3.0100425647
185124,Aquila,,0.429,32.1130378934,2.9165930412
185144,Draco,,0.786,5.7666801223,5.8653706912
185351,Cygnus,,0.928,40.5844155844,2.1282035175
185395,Cygnus,,0.395,18.5942729639,3.1431039894
185912,Cygnus,V1143 Cyg,0.482,39.8089171975,2.8900981753
186155,Cygnus,,0.426,48.7567040468,1.6198283018
186185,Sagittarius,,0.46,36.6837857667,2.6676292575
186219,Pavo,,0.234,41.5282392027,2.2982824129
186408,Cygnus,,0.643,21.6216216216,4.3155586854
186427,Cygnus,,0.661,21.4132762313,4.5965844028
187013,Cygnus,,0.476,20.8594075928,3.4034901485
187532,Aquila,,0.402,26.413100898,3.2709030481
187642,Aquila,Altair,0.221,5.1429746966,2.203928062
187691,Aquila,,0.563,19.3911188676,3.681985657
188119,Draco,,0.888,44.6428571429,0.5912400917
188228,Pavo,,-0.032,32.5414904003,1.4078128013
188376,Sagittarius,,0.748,23.7925291458,2.81779695
188512,Aquila,Alshain,0.855,13.7080191912,3.0251264811
188947,Cygnus,,1.019,42.735042735,0.7360792871
189118,Sagittarius,,0.17,48.0538202787,1.8913604011
189245,Sagittarius,,0.498,20.8768267223,4.0516775671
189340,Aquila,,0.598,24.5398773006,3.9206380654
189410,Vulpecula,,0.345,48.4027105518,2.2556515859
190248,Pavo,,0.751,6.1076161974,4.6206413091
190360,Cygnus,,0.749,15.8931977114,4.7239435698
190406,Sagitta,,0.6,17.667844523,4.5640821559
190608,Sagitta,,1.058,49.5785820526,1.6135294911
191026,Cygnus,,0.85,24.1896468312,3.4618523615
191067,Aquila,,1.023,47.8697941599,2.5696921999
191195,Cygnus,,0.445,36.4564345607,3.001129038
191408,Sagittarius,,0.868,6.0518034374,6.4105759315
191570,Sagitta,,0.394,45.00450045,3.243720273
191862,Capricornus,,0.476,28.0504908836,3.6002976709
192310,Capricornus,,0.878,8.823788935,6.0017244438
192425,Delphinus,,0.072,47.0809792844,1.575772562
192455,Draco,,0.53,48.6854917235,2.2630021963
192640,Cygnus,V1644 Cyg,0.151,41.0340582684,1.8642776459
192696,Cygnus,,0.114,46.7071461934,0.9330833365
192947,Capricornus,Algedi,0.883,33.3222259247,0.9663299771
192985,Cygnus,,0.447,34.51846738,3.179742476
193664,Draco,,0.602,17.5685172171,4.6863244571
194943,Capricornus,,0.386,30.2663438257,2.3652001932
195068,Cygnus,,0.339,37.6506024096,2.8511403535
195093,Capricornus,,0.22,41.8585182085,3.6310807487
195564,Capricornus,,0.689,24.2365487155,3.7376461182
195627,Pavo,,0.291,27.5709953129,2.5477377779
195725,Cepheus,,0.199,41.5973377704,1.1146723167
196067,Octans,,0.62,43.5729847495,3.3139134494
196171,Indus,,0.998,31.0462589258,0.6499536241
196378,Pavo,,0.544,24.1954996371,3.1913270264
196524,Delphinus,Rotanev,0.425,29.8596595999,1.2645757377
196755,Delphinus,,0.702,30.0571085062,2.6802640043
197051,Pavo,,0.163,42.1762969211,0.2946577699
197157,Indus,,0.278,24.1662638956,2.5939524316
197692,Capricornus,,0.426,14.6713615023,3.2976479088
197937,Microscopium,,0.361,41.067761807,2.0424948278
197950,Cepheus,,0.218,42.5713069391,2.4444150839
197963,Delphinus,,0.495,31.5556958031,2.654611196
197964,Delphinus,,1.042,31.113876789,1.8052293621
197989,Cygnus,,1.021,22.0945647371,0.7585727481
198084,Cepheus,,0.535,27.1223216707,2.353365688
198149,Cepheus,,0.912,14.3410296859,2.627098326
198390,Delphinus,,0.42,29.5770482106,3.6552258538
198639,Cygnus,,0.198,42.2475707647,1.9309912896
198743,Aquarius,,0.325,47.5963826749,1.342130262
199260,Capricornus,,0.507,21.0039907582,4.0884909074
199532,Octans,,0.49,45.3103760761,1.8490116658
199623,Indus,,0.48,28.5143997719,3.4846788294
199960,Aquarius,,0.635,26.455026455,4.0974589992
200163,Microscopium,,0.424,35.3107344633,2.5804662451
200499,Capricornus,,0.169,48.4496124031,1.3935484648
200525,Pavo,,0.59,18.7336080929,4.3068928473
200761,Capricornus,,-0.01,48.5201358564,0.6503899589
200790,Equuleus,,0.538,36.9549150037,3.1016389613
201091,Cygnus,V1803 Cyg,1.069,3.4827430084,7.4903928547
201092,Cygnus,,1.309,3.503608717,8.327422009
201601,Equuleus,,0.262,35.2360817477,1.9650619556
201636,Cepheus,,0.386,49.115913556,2.4238888683
201647,Microscopium,,0.45,32.3624595469,3.2797923971
201772,Microscopium,,0.46,33.3778371162,2.6327090451
202109,Cygnus,,0.99,46.2534690102,-0.1157215519
202275,Equuleus,,0.529,18.4808722972,3.1363876697
202444,Cygnus,,0.393,20.9205020921,2.1371394831
202730,Indus,,0.191,29.7796307326,2.020403459
203280,Cepheus,Alderamin,0.257,14.961101137,1.5751822061
203495,Ophiuchus,,1.5,47.5963826749,8.982130262
203495,Ophiuchus,,1.5,47.5963826749,8.982130262
203495,Lyra,,1.5,47.5963826749,8.982130262
