"HD","Star"
"14690",""
"14691",""
"14728",""
"14770",""
"14802",""
"14818",""
"14872",""
"14943",""
"14951",""
"15004",""
"15008",""
"15089",""
"15130",""
"15138",""
"15144","AB Cet"
"15176",""
"15220",""
"15228",""
"15233",""
"15248",""
"15257",""
"15318",""
"15335",""
"15371",""
"15379","TZ Hor"
"15427",""
"15434",""
"15434",""
"15524",""
"15550","UU Ari"
"15596",""
"15633",""
"15634","TY For"
"15656",""
"15694",""
"15755",""
"15779",""
"15798",""
"15814",""
"15920",""
"15975",""
"16024",""
"16028",""
"16046",""
"16058",""
"16074",""
"16141",""
"16160",""
"16161",""
"16176",""
"16210","R Tri"
"16212",""
"16232",""
"16234",""
"16246",""
"16247",""
"16307",""
"16400",""
"16417",""
"16432",""
"16458",""
"16522",""
"16538",""
"16555",""
"16582",""
"16620",""
"16628",""
"16673",""
"16727",""
"16735",""
"16739",""
"16754",""
"16765",""
"16769",""
"16811",""
"16815",""
"16825",""
"16861",""
"16895",""
"16901",""
"16908",""
"16920",""
"16970",""
"16975",""
"16978",""
"17017",""
"17036",""
"17051",""
"17081",""
"17093","UV Ari"
"17094",""
"17138","RZ Cas"
"17206",""
"17361",""
"17378","V480 Per"
"17459",""
"17463","SU Cas"
"17471","VZ Ari"
"17491","Z Eri"
"17504",""
"17506",""
"17528",""
"17543",""
"17566",""
"17573",""
"17584",""
"17652",""
"17656",""
"17709",""
"17713",""
"17729",""
"17769",""
"17793",""
"17824",""
"17829",""
"17848",""
"17878",""
"17904",""
"17948",""
"18071",""
"18091",""
"18149",""
"18191","RZ Ari"
"18242","R Hor"
"18256",""
"18262",""
"18293",""
"18296","LT Per"
"18322","Azha"
"18331",""
"18404",""
"18411",""
"18438",""
"18449",""
"18454",""
"18474",""
"18482",""
"18519",""
"18520",""
"18535",""
"18537",""
"18543",""
"18604",""
"18622","Acamar"
"18623",""
"18633",""
"18692",""
"18700",""
"18760","CV Eri"
"18769",""
"18778",""
"18784",""
"18803",""
"18866",""
"18883",""
"18884","Menkar"
"18885",""
"18907",""
"18925",""
"18953",""
"18970",""
"18978",""
"19058",""
"19065",""
"19107",""
"19134",""
"19135",""
"19141",""
"19270",""
"19275",""
"19319",""
"19349",""
"19356","Algol"
"19373",""
"19374","UW Ari"
"19400",""
"19460",""
"19476",""
"19548",""
"19656",""
"19698",""
"19787","Botein"
"19832","SX Ari"
"19845",""
"19926",""
"19978",""
"19994",""
"20010",""
"20041",""
"20084",""
"20123",""
"20149",""
"20150",""
"20210","V423 Per"
"20234","TW Hor"
"20313","BN Hyi"
"20315",""
"20320","Zibal"
"20336","BK Cam"
"20346",""
"20365",""
"20395",""
"20418",""
"20468",""
"20559",""
"20606",""
"20610",""
"20618",""
"20630",""
"20631",""
"20640",""
"20644",""
"20663",""
"20675",""
"20677",""
"20720",""
"20729",""
"20756",""
"20766",""
"20791",""
"20794",""
"20797",""
"20807",""
"20809",""
"20825",""
"20893",""
"20894",""
"20902","Mirfak"
"20995",""
"21017",""
"21024",""
"21050",""
"21120",""
"21278",""
"21291",""
"21362",""
"21364",""
"21364",""
"21389",""
"21402",""
"21423",""
"21428",""
"21430",""
"21447",""
"21467",""
"21530",""
"21551",""
"21552",""
"21574",""
"21635",""
"21665",""
"21686",""
"21688",""
"21699","V396 Per"
"21722",""
"21754",""
"21755",""
"21770",""
"21790",""
"21803","KP Per"
"21819",""
"21856",""
"21882",""
"21912","IW Per"
"21933",""
"21981","TU Hor"
"22001",""
"22049","Ran"
"22091",""
"22192",""
"22203",""
"22231",""
"22252",""
"22374",""
"22409",""
"22468","V711 Tau"
"22470","EG Eri"
"22484",""
"22649","BD Cam"
"22663",""
"22675",""
"22676",""
"22701",""
"22713",""
"22764",""
"22780",""
"22789",""
"22796",""
"22805",""
"22920",""
"22928",""
"22951",""
"23005",""
"23016",""
"23089",""
"23180","Atik"
"23183",""
"23193",""
"23227",""
"23230",""
"23249",""
"23277",""
"23281",""
"23288","Celaeno"
"23300",""
"23302","Electra"
"23319",""
"23324",""
"23338","Taygeta"
"23363",""
"23401",""
"23408","Maia"
"23413",""
"23432","Asterope"
"23441",""
"23466",""
"23475","BE Cam"
"23480","Merope"
"23523",""
"23526",""
"23614",""
"23629",""
"23630","Alcyone"
"23719",""
"23728","V376 Per"
"23738",""
"23753",""
"23754",""
"23793",""
"23817",""
"23822",""
"23838",""
"23848","V467 Per"
"23850","Atlas"
"23862","Pleione"
"23878",""
"23887",""
"23940",""
"23978",""
"23985",""
"24071",""
"24072",""
"24131",""
"24141",""
"24155","V766 Tau"
"24160",""
"24240",""
"24263",""
"24357",""
"24388",""
"24398",""
"24479",""
"24480",""
"24504",""
"24512",""
"24534","X Per"
"24546",""
"24554",""
"24555",""
"24587",""
"24626",""
"24640",""
"24706",""
"24712","DO Eri"
"24740",""
"24744",""
"24760",""
"24769","V817 Tau"
"24809","V386 Per"
"24832","DL Eri"
"24912","Menkib"
"25007",""
"25025","Zaurak"
"25069",""
"25165",""
"25202",""
"25204",""
"25267",""
"25274",""
"25291",""
"25330",""
"25340",""
"25371",""
"25422",""
"25457",""
"25470","XY Dor"
"25490",""
"25555",""
"25558",""
"25570",""
"25604",""
"25621",""
"25638","SZ Cam"
"25642",""
"25680",""
"25705",""
"25723",""
"25728",""
"25823","GS Tau"
"25867",""
"25940","MX Per"
"25945",""
"25975",""
"25998",""
"26038",""
"26162",""
"26171",""
"26311",""
"26322","IM Tau"
"26326",""
"26356",""
"26409",""
"26462",""
"26464",""
"26574","Beid"
"26591",""
"26612",""
"26630",""
