"StarID","HIP","HD","HR","Gliese","BayerFlamsteed","ProperName","RA","Dec","Distance","PMRA","PMDec","RV","Mag","AbsMag","Spectrum","ColorIndex","X","Y","Z","VX","VY","VZ"
0,NA,NA,NA,"","","Sol",0,0,4.848e-06,0,0,0,-26.73,4.85,"G2V",0.656,0,0,0,0,0,0
1,1,224700,NA,"","","",6.079e-05,1.08901332,282.485875706215,-5.2,-1.88,NA,9.1,1.84501631012894,"F5",0.482,282.43485,0.00449,5.36884,4.9e-08,-7.12e-06,-2.574e-06
2,2,224690,NA,"","","",0.00025315,-19.49883745,45.662100456621,181.21,-0.93,NA,9.27,5.97222057420059,"K3V",0.999,43.04329,0.00285,-15.24144,-7.1e-08,4.0112e-05,-1.94e-07
3,3,224699,NA,"","","",0.00033386,38.85928608,355.871886120996,5.24,-2.91,NA,6.61,-1.1464684004746,"B9",-0.019,277.11358,0.02422,223.27753,3.148e-06,9.04e-06,-3.909e-06
4,4,224707,NA,"","","",0.00055878,-51.89354612,129.032258064516,62.85,0.16,NA,8.06,2.50650851253155,"F0V",0.37,79.62896,0.01164,-101.53103,7.2e-08,3.9313e-05,6.1e-08
5,5,224705,NA,"","","",0.00066435,-40.5912244,348.432055749129,2.53,9.07,NA,8.55,0.839409483669963,"G8III",0.902,264.58918,0.04601,-226.71007,9.967e-06,4.275e-06,1.1633e-05
