"Feature","Gain","Cover","Frequency"
"Lat",0.414748328949407,0.463253233311833,0.340463488645262
"Long",0.382584555958943,0.434900476011152,0.340994518402506
"Hour",0.100951807553361,0.0399013958849319,0.100303445575568
"Year",0.058880418939607,0.0302015438714045,0.0890833007047768
"Month",0.0237771292952711,0.0184318315488533,0.0741948903680501
"Day",0.0190577593034115,0.0133115193718252,0.0549603563038371
