"id","source","created","word"
"823950814163140609","Old",2017-01-24 17:49:17,"forward"
"823950814163140609","Old",2017-01-24 17:49:17,"construction"
"823950814163140609","Old",2017-01-24 17:49:17,"keystone"
"823950814163140609","Old",2017-01-24 17:49:17,"xl"
"823950814163140609","Old",2017-01-24 17:49:17,"dakota"
"823950814163140609","Old",2017-01-24 17:49:17,"access"
"823950814163140609","Old",2017-01-24 17:49:17,"pipelines"
"823950814163140609","Old",2017-01-24 17:49:17,"oval"
"824055927200423936","Old",2017-01-25 00:46:57,"meeting"
"824055927200423936","Old",2017-01-25 00:46:57,"ford"
"824055927200423936","Old",2017-01-25 00:46:57,"ceo"
"824055927200423936","Old",2017-01-25 00:46:57,"mark"
"824055927200423936","Old",2017-01-25 00:46:57,"fields"
"824055927200423936","Old",2017-01-25 00:46:57,"motors"
"824055927200423936","Old",2017-01-25 00:46:57,"ceo"
"824055927200423936","Old",2017-01-25 00:46:57,"mary"
"824055927200423936","Old",2017-01-25 00:46:57,"barra"
"824055927200423936","Old",2017-01-25 00:46:57,"@whitehouse"
"824377804590563339","Old",2017-01-25 22:05:59,"interviewed"
"824377804590563339","Old",2017-01-25 22:05:59,"@davidmuir"
"824377804590563339","Old",2017-01-25 22:05:59,"tonight"
"824377804590563339","Old",2017-01-25 22:05:59,"o'clock"
"824377804590563339","Old",2017-01-25 22:05:59,"@abc"
"824377804590563339","Old",2017-01-25 22:05:59,"interview"
"824377804590563339","Old",2017-01-25 22:05:59,"white"
"824377804590563339","Old",2017-01-25 22:05:59,"house"
"824440456813707265","Old",2017-01-26 02:14:56,"president"
"824440456813707265","Old",2017-01-26 02:14:56,"duty"
"824440456813707265","Old",2017-01-26 02:14:56,"protect"
"824440456813707265","Old",2017-01-26 02:14:56,"lives"
"824440456813707265","Old",2017-01-26 02:14:56,"american"
"824440456813707265","Old",2017-01-26 02:14:56,"people"
"824698743630995457","Old",2017-01-26 19:21:17,"spoke"
"824698743630995457","Old",2017-01-26 19:21:17,"congressional"
"824698743630995457","Old",2017-01-26 19:21:17,"@gop"
"824698743630995457","Old",2017-01-26 19:21:17,"retreat"
"824698743630995457","Old",2017-01-26 19:21:17,"philadelphia"
"824698743630995457","Old",2017-01-26 19:21:17,"pa"
"824698743630995457","Old",2017-01-26 19:21:17,"afternoon"
"824698743630995457","Old",2017-01-26 19:21:17,"@vp"
"824698743630995457","Old",2017-01-26 19:21:17,"@senatemajldr"
"824698743630995457","Old",2017-01-26 19:21:17,"@speakerryan"
"824765229527605248","Old",2017-01-26 23:45:28,"interviewed"
"824765229527605248","Old",2017-01-26 23:45:28,"@seanhannity"
"824765229527605248","Old",2017-01-26 23:45:28,"@foxnews"
"824765229527605248","Old",2017-01-26 23:45:28,"00pm"
"824765229527605248","Old",2017-01-26 23:45:28,"tonight"
"824765229527605248","Old",2017-01-26 23:45:28,"enjoy"
"824767281146245120","Old",2017-01-26 23:53:37,"miami"
"824767281146245120","Old",2017-01-26 23:53:37,"dade"
"824767281146245120","Old",2017-01-26 23:53:37,"mayor"
"824767281146245120","Old",2017-01-26 23:53:37,"drops"
"824767281146245120","Old",2017-01-26 23:53:37,"sanctuary"
"824767281146245120","Old",2017-01-26 23:53:37,"policy"
"824767281146245120","Old",2017-01-26 23:53:37,"decision"
"824767281146245120","Old",2017-01-26 23:53:37,"strong"
"825017279209410561","Old",2017-01-27 16:27:02,"#marchforlife"
"825017279209410561","Old",2017-01-27 16:27:02,"marching"
"825017279209410561","Old",2017-01-27 16:27:02,"support"
"825018149397463040","Old",2017-01-27 16:30:29,"@vp"
"825018149397463040","Old",2017-01-27 16:30:29,"mike"
"825018149397463040","Old",2017-01-27 16:30:29,"pence"
"825018149397463040","Old",2017-01-27 16:30:29,"speaking"
"825018149397463040","Old",2017-01-27 16:30:29,"today's"
"825018149397463040","Old",2017-01-27 16:30:29,"#marchforlife"
"825018149397463040","Old",2017-01-27 16:30:29,"support"
"825075972659613696","Old",2017-01-27 20:20:15,"statement"
"825075972659613696","Old",2017-01-27 20:20:15,"international"
"825075972659613696","Old",2017-01-27 20:20:15,"holocaust"
"825075972659613696","Old",2017-01-27 20:20:15,"remembrance"
"825075972659613696","Old",2017-01-27 20:20:15,"day"
"825101272982355968","Old",2017-01-27 22:00:47,"congratulations"
"825101272982355968","Old",2017-01-27 22:00:47,"secretary"
"825101272982355968","Old",2017-01-27 22:00:47,"mattis"
"825127844066054144","Old",2017-01-27 23:46:22,"promise"
"825127844066054144","Old",2017-01-27 23:46:22,"administration"
"825368580325773312","Old",2017-01-28 15:42:58,"remember"
"825368580325773312","Old",2017-01-28 15:42:58,"crew"
"825368580325773312","Old",2017-01-28 15:42:58,"space"
"825368580325773312","Old",2017-01-28 15:42:58,"shuttle"
"825368580325773312","Old",2017-01-28 15:42:58,"challenger"
"825368580325773312","Old",2017-01-28 15:42:58,"#neverforget"
"825848204633731074","Old",2017-01-29 23:28:50,"statement"
"825848204633731074","Old",2017-01-29 23:28:50,"recent"
"825848204633731074","Old",2017-01-29 23:28:50,"executive"
"825848204633731074","Old",2017-01-29 23:28:50,"extreme"
"825848204633731074","Old",2017-01-29 23:28:50,"vetting"
"825850987348914184","Old",2017-01-29 23:39:53,"interviewed"
"825850987348914184","Old",2017-01-29 23:39:53,"@thebrodyfile"
"825850987348914184","Old",2017-01-29 23:39:53,"@cbnnews"
"825850987348914184","Old",2017-01-29 23:39:53,"tonight"
"825850987348914184","Old",2017-01-29 23:39:53,"11pm"
"825850987348914184","Old",2017-01-29 23:39:53,"enjoy"
"828748574255091714","Old",2017-02-06 23:33:52,"extended"
"828748574255091714","Old",2017-02-06 23:33:52,"interview"
"828748574255091714","Old",2017-02-06 23:33:52,"super"
"828748574255091714","Old",2017-02-06 23:33:52,"bowl"
"828748574255091714","Old",2017-02-06 23:33:52,"@oreillyfactor"
"828748574255091714","Old",2017-02-06 23:33:52,"airs"
"828748574255091714","Old",2017-02-06 23:33:52,"tonight"
"828748574255091714","Old",2017-02-06 23:33:52,"enjoy"
"828939235499638784","Old",2017-02-07 12:11:29,"putin"
"828939235499638784","Old",2017-02-07 12:11:29,"deals"
"828939235499638784","Old",2017-02-07 12:11:29,"russia"
"828939235499638784","Old",2017-02-07 12:11:29,"haters"
"828939235499638784","Old",2017-02-07 12:11:29,"crazy"
"828939235499638784","Old",2017-02-07 12:11:29,"obama"
"828939235499638784","Old",2017-02-07 12:11:29,"deal"
"828939235499638784","Old",2017-02-07 12:11:29,"iran"
"828939235499638784","Old",2017-02-07 12:11:29,"terror"
"829003091735359488","Old",2017-02-07 16:25:13,"honor"
"829003091735359488","Old",2017-02-07 16:25:13,"national"
"829003091735359488","Old",2017-02-07 16:25:13,"sheriffs"
"829003091735359488","Old",2017-02-07 16:25:13,"assoc"
"829003091735359488","Old",2017-02-07 16:25:13,"join"
"829003091735359488","Old",2017-02-07 16:25:13,"@whitehouse"
"829003091735359488","Old",2017-02-07 16:25:13,"incredible"
"829003091735359488","Old",2017-02-07 16:25:13,"women"
"829003091735359488","Old",2017-02-07 16:25:13,"protect"
"829003091735359488","Old",2017-02-07 16:25:13,"serv"
"829349943613734912","Old",2017-02-08 15:23:29,"police"
"829349943613734912","Old",2017-02-08 15:23:29,"chiefs"
"829349943613734912","Old",2017-02-08 15:23:29,"sheriffs"
"829349943613734912","Old",2017-02-08 15:23:29,"leadership"
"829349943613734912","Old",2017-02-08 15:23:29,"service"
"829349943613734912","Old",2017-02-08 15:23:29,"true"
"829349943613734912","Old",2017-02-08 15:23:29,"friend"
"829356871848951809","Old",2017-02-08 15:51:01,"daughter"
"829356871848951809","Old",2017-02-08 15:51:01,"ivanka"
"829356871848951809","Old",2017-02-08 15:51:01,"treated"
"829356871848951809","Old",2017-02-08 15:51:01,"unfairly"
"829356871848951809","Old",2017-02-08 15:51:01,"@nordstrom"
"829356871848951809","Old",2017-02-08 15:51:01,"person"
"829356871848951809","Old",2017-02-08 15:51:01,"pushing"
"829356871848951809","Old",2017-02-08 15:51:01,"terrible"
"829357626798530561","Old",2017-02-08 15:54:01,"fake"
"829357626798530561","Old",2017-02-08 15:54:01,"news"
"829357626798530561","Old",2017-02-08 15:54:01,"stories"
"829357626798530561","Old",2017-02-08 15:54:01,"reporters"
"829357626798530561","Old",2017-02-08 15:54:01,"run"
"829357626798530561","Old",2017-02-08 15:54:01,"trump"
"829357626798530561","Old",2017-02-08 15:54:01,"won"
"829410107406614534","Old",2017-02-08 19:22:33,"brian"
"829410107406614534","Old",2017-02-08 19:22:33,"krzanich"
"829410107406614534","Old",2017-02-08 19:22:33,"ceo"
"829410107406614534","Old",2017-02-08 19:22:33,"@intel"
"829410107406614534","Old",2017-02-08 19:22:33,"investment"
"829410107406614534","Old",2017-02-08 19:22:33,"billion"
"829410107406614534","Old",2017-02-08 19:22:33,"american"
"829410107406614534","Old",2017-02-08 19:22:33,"innovation"
"829410107406614534","Old",2017-02-08 19:22:33,"jobs"
"829414457126313986","Old",2017-02-08 19:39:51,"'immigration"
"829414457126313986","Old",2017-02-08 19:39:51,"ban"
"829414457126313986","Old",2017-02-08 19:39:51,"trump's"
"829414457126313986","Old",2017-02-08 19:39:51,"popular"
"829446266111287305","Old",2017-02-08 21:46:14,"'majority"
"829446266111287305","Old",2017-02-08 21:46:14,"leading"
"829446266111287305","Old",2017-02-08 21:46:14,"eu"
"829446266111287305","Old",2017-02-08 21:46:14,"nations"
"829446266111287305","Old",2017-02-08 21:46:14,"support"
"829446266111287305","Old",2017-02-08 21:46:14,"trump"
"829446266111287305","Old",2017-02-08 21:46:14,"style"
"829446266111287305","Old",2017-02-08 21:46:14,"travel"
"829446266111287305","Old",2017-02-08 21:46:14,"ban"
"829446266111287305","Old",2017-02-08 21:46:14,"poll"
"829446266111287305","Old",2017-02-08 21:46:14,"people"
"829446266111287305","Old",2017-02-08 21:46:14,"countries"
"829451566000242688","Old",2017-02-08 22:07:18,"'trump"
"829451566000242688","Old",2017-02-08 22:07:18,"administration"
"829451566000242688","Old",2017-02-08 22:07:18,"truthful"
"829451566000242688","Old",2017-02-08 22:07:18,"news"
"829451566000242688","Old",2017-02-08 22:07:18,"media"
"829496507841789952","Old",2017-02-09 01:05:53,"congratulations"
"829496507841789952","Old",2017-02-09 01:05:53,"attorney"
"829496507841789952","Old",2017-02-09 01:05:53,"@senatorsessions"
"829721019720015872","Old",2017-02-09 15:58:01,"join"
"829721019720015872","Old",2017-02-09 15:58:01,"live"
"829721019720015872","Old",2017-02-09 15:58:01,"oval"
