"fips","variable","value"
"1021","2014",51
"1021","2015",36
"1023","1992",0
"1023","1993",0
"1023","1994",32
"1023","1995",20
"1023","1996",44
"1023","1997",0
"1023","1998",0
"1023","1999",0
"1023","2000",0
"1023","2001",0
"1023","2002",0
"1023","2003",10
"1023","2004",38
"1023","2005",23
"1023","2006",54
"1023","2007",50
"1023","2008",22
"1023","2009",20
"1023","2010",26
"1023","2011",68
"1023","2012",24
"1023","2013",20
"1023","2014",37
"1023","2015",38
"1025","1992",0
"1025","1993",0
"1025","1994",41
"1025","1995",37
"1025","1996",25
"1025","1997",0
"1025","1998",0
"1025","1999",0
"1025","2000",0
"1025","2001",0
"1025","2002",0
"1025","2003",7
"1025","2004",34
"1025","2005",20
"1025","2006",50
"1025","2007",24
"1025","2008",25
"1025","2009",39
"1025","2010",25
"1025","2011",22
"1025","2012",13
"1025","2013",15
"1025","2014",34
"1025","2015",36
"1027","1992",0
"1027","1993",0
"1027","1994",48
"1027","1995",70
"1027","1996",46
"1027","1997",0
"1027","1998",0
"1027","1999",0
"1027","2000",0
"1027","2001",0
"1027","2002",0
"1027","2003",20
"1027","2004",41
"1027","2005",31
"1027","2006",48
"1027","2007",71
"1027","2008",18
"1027","2009",25
"1027","2010",26
"1027","2011",20
"1027","2012",29
"1027","2013",29
"1027","2014",24
"1027","2015",24
"1029","1992",0
"1029","1993",0
"1029","1994",75
"1029","1995",113
"1029","1996",166
"1029","1997",0
"1029","1998",0
"1029","1999",0
"1029","2000",0
"1029","2001",0
"1029","2002",0
"1029","2003",54
"1029","2004",111
"1029","2005",68
"1029","2006",122
"1029","2007",97
"1029","2008",40
"1029","2009",32
"1029","2010",37
"1029","2011",32
"1029","2012",54
"1029","2013",30
"1029","2014",31
"1029","2015",20
"1031","1992",0
"1031","1993",0
"1031","1994",11
"1031","1995",16
"1031","1996",28
"1031","1997",0
"1031","1998",0
"1031","1999",0
"1031","2000",0
"1031","2001",0
"1031","2002",0
"1031","2003",2
"1031","2004",10
"1031","2005",12
"1031","2006",22
"1031","2007",17
"1031","2008",10
"1031","2009",9
"1031","2010",9
"1031","2011",17
"1031","2012",19
"1031","2013",17
"1031","2014",8
"1031","2015",10
"1033","1992",0
"1033","1993",0
"1033","1994",29
"1033","1995",36
"1033","1996",37
"1033","1997",0
"1033","1998",0
"1033","1999",0
"1033","2000",0
"1033","2001",0
"1033","2002",0
"1033","2003",24
"1033","2004",30
"1033","2005",39
"1033","2006",82
"1033","2007",51
"1033","2008",24
"1033","2009",28
"1033","2010",10
"1033","2011",10
"1033","2012",14
"1033","2013",10
"1033","2014",18
"1033","2015",25
"1035","1992",0
"1035","1993",0
"1035","1994",69
"1035","1995",47
"1035","1996",76
"1035","1997",0
"1035","1998",0
"1035","1999",0
"1035","2000",0
"1035","2001",0
"1035","2002",0
"1035","2003",41
"1035","2004",76
"1035","2005",49
"1035","2006",108
"1035","2007",62
"1035","2008",42
"1035","2009",35
"1035","2010",42
"1035","2011",46
"1035","2012",24
"1035","2013",25
"1035","2014",43
"1035","2015",49
"1037","1992",0
"1037","1993",0
"1037","1994",32
"1037","1995",42
"1037","1996",55
"1037","1997",0
"1037","1998",0
"1037","1999",0
"1037","2000",0
"1037","2001",0
"1037","2002",0
"1037","2003",15
"1037","2004",47
"1037","2005",21
"1037","2006",37
"1037","2007",46
"1037","2008",21
"1037","2009",17
"1037","2010",27
"1037","2011",27
"1037","2012",29
"1037","2013",17
"1037","2014",21
"1037","2015",25
"1039","1992",0
"1039","1993",0
"1039","1994",62
"1039","1995",33
"1039","1996",44
"1039","1997",0
"1039","1998",0
"1039","1999",0
"1039","2000",0
"1039","2001",0
"1039","2002",0
"1039","2003",16
"1039","2004",31
"1039","2005",25
"1039","2006",57
"1039","2007",53
"1039","2008",22
"1039","2009",13
"1039","2010",8
"1039","2011",21
"1039","2012",21
"1039","2013",22
"1039","2014",37
"1039","2015",30
"1041","1992",0
"1041","1993",0
"1041","1994",46
"1041","1995",19
"1041","1996",45
"1041","1997",0
"1041","1998",0
"1041","1999",0
"1041","2000",0
"1041","2001",0
"1041","2002",0
"1041","2003",4
"1041","2004",19
"1041","2005",16
"1041","2006",21
"1041","2007",22
"1041","2008",18
"1041","2009",9
"1041","2010",18
"1041","2011",18
"1041","2012",20
"1041","2013",21
"1041","2014",19
"1041","2015",24
"1043","1992",0
"1043","1993",0
"1043","1994",16
"1043","1995",32
"1043","1996",18
"1043","1997",0
"1043","1998",0
"1043","1999",0
"1043","2000",0
"1043","2001",0
"1043","2002",0
"1043","2003",18
"1043","2004",19
"1043","2005",29
"1043","2006",38
"1043","2007",44
"1043","2008",16
"1043","2009",11
"1043","2010",39
"1043","2011",10
"1043","2012",19
"1043","2013",16
"1043","2014",38
"1043","2015",40
"1045","1992",0
"1045","1993",0
"1045","1994",11
"1045","1995",12
"1045","1996",17
"1045","1997",0
"1045","1998",0
"1045","1999",0
"1045","2000",0
"1045","2001",0
"1045","2002",0
"1045","2003",1
"1045","2004",11
"1045","2005",4
"1045","2006",13
"1045","2007",14
"1045","2008",7
"1045","2009",5
"1045","2010",5
"1045","2011",16
"1045","2012",11
"1045","2013",7
"1045","2014",14
"1045","2015",8
"1047","1992",0
"1047","1993",0
"1047","1994",23
"1047","1995",52
"1047","1996",27
"1047","1997",0
"1047","1998",0
"1047","1999",0
"1047","2000",0
"1047","2001",0
"1047","2002",0
"1047","2003",8
"1047","2004",38
"1047","2005",58
"1047","2006",69
"1047","2007",67
"1047","2008",39
"1047","2009",9
"1047","2010",45
"1047","2011",25
"1047","2012",17
"1047","2013",8
"1047","2014",22
"1047","2015",27
"1049","1992",0
"1049","1993",0
"1049","1994",22
"1049","1995",17
"1049","1996",10
"1049","1997",0
"1049","1998",0
"1049","1999",0
"1049","2000",0
"1049","2001",0
"1049","2002",0
"1049","2003",11
"1049","2004",18
"1049","2005",48
"1049","2006",54
"1049","2007",49
"1049","2008",17
"1049","2009",14
"1049","2010",46
"1049","2011",24
"1049","2012",20
"1049","2013",15
"1049","2014",69
"1049","2015",113
"1051","1992",0
"1051","1993",0
"1051","1994",79
"1051","1995",192
"1051","1996",114
"1051","1997",0
"1051","1998",0
"1051","1999",0
"1051","2000",0
"1051","2001",0
"1051","2002",0
"1051","2003",38
"1051","2004",68
"1051","2005",28
"1051","2006",16
"1051","2007",40
"1051","2008",17
"1051","2009",5
"1051","2010",8
"1051","2011",23
"1051","2012",11
"1051","2013",13
"1051","2014",28
"1051","2015",12
"1053","1992",0
"1053","1993",0
"1053","1994",87
"1053","1995",68
"1053","1996",114
"1053","1997",0
"1053","1998",0
"1053","1999",0
"1053","2000",0
"1053","2001",0
"1053","2002",0
"1053","2003",47
"1053","2004",78
"1053","2005",73
"1053","2006",202
"1053","2007",97
"1053","2008",81
"1053","2009",45
"1053","2010",46
"1053","2011",64
"1053","2012",47
"1053","2013",44
"1053","2014",59
"1053","2015",58
"1055","1992",0
"1055","1993",0
"1055","1994",14
"1055","1995",15
"1055","1996",12
"1055","1997",0
"1055","1998",0
"1055","1999",0
"1055","2000",0
"1055","2001",0
"1055","2002",0
"1055","2003",15
"1055","2004",44
"1055","2005",37
"1055","2006",46
"1055","2007",68
"1055","2008",20
"1055","2009",14
"1055","2010",22
"1055","2011",16
"1055","2012",18
"1055","2013",22
"1055","2014",25
"1055","2015",12
"1057","1992",0
"1057","1993",0
"1057","1994",29
"1057","1995",50
"1057","1996",68
"1057","1997",0
"1057","1998",0
"1057","1999",0
"1057","2000",0
"1057","2001",0
"1057","2002",0
"1057","2003",12
"1057","2004",13
"1057","2005",12
"1057","2006",36
"1057","2007",45
"1057","2008",13
"1057","2009",8
"1057","2010",29
"1057","2011",18
"1057","2012",16
"1057","2013",10
"1057","2014",25
"1057","2015",11
"1059","1992",0
"1059","1993",0
"1059","1994",5
"1059","1995",8
"1059","1996",7
"1059","1997",0
"1059","1998",0
"1059","1999",0
"1059","2000",0
"1059","2001",0
"1059","2002",0
"1059","2003",21
"1059","2004",26
"1059","2005",37
"1059","2006",29
"1059","2007",62
"1059","2008",14
"1059","2009",12
"1059","2010",22
"1059","2011",11
"1059","2012",31
"1059","2013",14
"1059","2014",31
"1059","2015",18
"1061","1992",0
"1061","1993",0
"1061","1994",22
"1061","1995",8
"1061","1996",18
"1061","1997",0
"1061","1998",0
"1061","1999",0
"1061","2000",0
"1061","2001",0
"1061","2002",0
"1061","2003",8
"1061","2004",6
"1061","2005",8
"1061","2006",14
"1061","2007",14
"1061","2008",10
"1061","2009",8
"1061","2010",14
"1061","2011",26
"1061","2012",8
"1061","2013",15
"1061","2014",19
"1061","2015",17
"1063","1992",0
"1063","1993",0
"1063","1994",22
"1063","1995",24
"1063","1996",26
"1063","1997",0
"1063","1998",0
"1063","1999",0
"1063","2000",0
"1063","2001",0
"1063","2002",0
"1063","2003",6
"1063","2004",17
"1063","2005",29
"1063","2006",52
"1063","2007",33
"1063","2008",21
"1063","2009",12
"1063","2010",9
"1063","2011",11
"1063","2012",9
"1063","2013",11
"1063","2014",19
"1063","2015",28
"1065","1992",0
"1065","1993",0
"1065","1994",4
"1065","1995",23
"1065","1996",29
"1065","1997",0
"1065","1998",0
"1065","1999",0
"1065","2000",0
"1065","2001",0
"1065","2002",0
"1065","2003",18
"1065","2004",31
"1065","2005",38
"1065","2006",48
"1065","2007",27
"1065","2008",33
"1065","2009",21
"1065","2010",32
"1065","2011",28
"1065","2012",21
"1065","2013",12
"1065","2014",43
"1065","2015",38
"1067","1992",0
"1067","1993",0
"1067","1994",15
"1067","1995",23
"1067","1996",6
"1067","1997",0
"1067","1998",0
"1067","1999",0
"1067","2000",0
"1067","2001",0
"1067","2002",0
"1067","2003",6
"1067","2004",23
"1067","2005",3
"1067","2006",13
"1067","2007",10
"1067","2008",9
"1067","2009",3
"1067","2010",9
"1067","2011",15
"1067","2012",16
"1067","2013",11
"1067","2014",14
"1067","2015",8
"1069","1992",0
"1069","1993",0
"1069","1994",12
"1069","1995",12
"1069","1996",12
"1069","1997",0
"1069","1998",0
"1069","1999",0
"1069","2000",0
"1069","2001",0
"1069","2002",0
"1069","2003",5
"1069","2004",12
"1069","2005",5
"1069","2006",12
"1069","2007",25
"1069","2008",9
"1069","2009",5
"1069","2010",12
"1069","2011",22
"1069","2012",7
"1069","2013",4
"1069","2014",8
"1069","2015",8
"1071","1992",0
"1071","1993",0
"1071","1994",19
"1071","1995",24
"1071","1996",44
"1071","1997",0
"1071","1998",0
"1071","1999",0
"1071","2000",0
"1071","2001",0
"1071","2002",0
"1071","2003",19
"1071","2004",31
"1071","2005",36
"1071","2006",33
"1071","2007",52
"1071","2008",15
"1071","2009",10
"1071","2010",16
"1071","2011",12
"1071","2012",8
"1071","2013",19
"1071","2014",27
"1071","2015",38
"1073","1992",0
"1073","1993",0
"1073","1994",174
"1073","1995",256
"1073","1996",158
"1073","1997",0
"1073","1998",0
"1073","1999",0
"1073","2000",0
"1073","2001",0
"1073","2002",0
"1073","2003",50
"1073","2004",55
"1073","2005",67
"1073","2006",108
"1073","2007",106
"1073","2008",60
"1073","2009",26
"1073","2010",38
"1073","2011",36
"1073","2012",50
"1073","2013",31
"1073","2014",82
"1073","2015",47
"1075","1992",0
"1075","1993",0
"1075","1994",29
"1075","1995",28
"1075","1996",44
"1075","1997",0
"1075","1998",0
"1075","1999",0
"1075","2000",0
"1075","2001",0
"1075","2002",0
"1075","2003",14
"1075","2004",10
"1075","2005",24
"1075","2006",49
"1075","2007",36
"1075","2008",16
"1075","2009",5
"1075","2010",15
"1075","2011",16
"1075","2012",24
"1075","2013",11
"1075","2014",21
"1075","2015",7
"1077","1992",0
"1077","1993",0
"1077","1994",4
"1077","1995",11
"1077","1996",13
"1077","1997",0
"1077","1998",0
"1077","1999",0
"1077","2000",0
"1077","2001",0
"1077","2002",0
"1077","2003",55
"1077","2004",74
"1077","2005",99
"1077","2006",98
"1077","2007",92
"1077","2008",38
"1077","2009",25
"1077","2010",20
"1077","2011",12
"1077","2012",14
"1077","2013",9
"1077","2014",27
"1077","2015",14
"1079","1992",0
"1079","1993",0
"1079","1994",35
"1079","1995",40
"1079","1996",29
"1079","1997",0
"1079","1998",0
"1079","1999",0
"1079","2000",0
"1079","2001",0
"1079","2002",0
"1079","2003",37
"1079","2004",47
"1079","2005",36
"1079","2006",39
"1079","2007",58
"1079","2008",18
"1079","2009",13
"1079","2010",14
"1079","2011",11
"1079","2012",13
"1079","2013",18
"1079","2014",31
"1079","2015",19
"1081","1992",0
"1081","1993",0
"1081","1994",25
"1081","1995",26
"1081","1996",17
"1081","1997",0
"1081","1998",0
"1081","1999",0
"1081","2000",0
"1081","2001",0
"1081","2002",0
"1081","2003",8
"1081","2004",12
"1081","2005",8
"1081","2006",11
"1081","2007",24
"1081","2008",6
"1081","2009",12
"1081","2010",12
"1081","2011",26
"1081","2012",15
"1081","2013",8
"1081","2014",23
"1081","2015",12
"1083","1992",0
"1083","1993",0
"1083","1994",23
"1083","1995",19
"1083","1996",18
"1083","1997",0
"1083","1998",0
"1083","1999",0
"1083","2000",0
"1083","2001",0
"1083","2002",0
"1083","2003",4
"1083","2004",6
"1083","2005",4
"1083","2006",28
"1083","2007",31
"1083","2008",13
"1083","2009",4
"1083","2010",7
"1083","2011",6
"1083","2012",3
"1083","2013",7
"1083","2014",18
"1083","2015",13
"1085","1992",0
"1085","1993",0
"1085","1994",27
"1085","1995",44
"1085","1996",21
"1085","1997",0
"1085","1998",0
"1085","1999",0
"1085","2000",0
"1085","2001",0
"1085","2002",0
"1085","2003",16
"1085","2004",37
"1085","2005",24
"1085","2006",60
"1085","2007",44
"1085","2008",26
"1085","2009",9
"1085","2010",20
"1085","2011",16
"1085","2012",21
"1085","2013",17
"1085","2014",31
"1085","2015",24
"1087","1992",0
"1087","1993",0
"1087","1994",91
"1087","1995",89
"1087","1996",55
"1087","1997",0
"1087","1998",0
"1087","1999",0
"1087","2000",0
"1087","2001",0
"1087","2002",0
"1087","2003",31
"1087","2004",84
"1087","2005",43
"1087","2006",82
"1087","2007",67
"1087","2008",47
"1087","2009",23
"1087","2010",53
"1087","2011",71
"1087","2012",46
"1087","2013",45
"1087","2014",47
"1087","2015",33
"1089","1992",0
"1089","1993",0
"1089","1994",16
"1089","1995",11
"1089","1996",5
"1089","1997",0
