"Movie","ReleaseDate","Distributor","Genre","Rating"
"A Goofy Movie","Apr 7, 1995","Walt Disney","Adventure","G"
"The Pebble and the Penguin","Apr 12, 1995","MGM","Adventure","G"
"Wings of Courage","Apr 21, 1995","Sony Pictures Classics","Drama","G"
"A Little Princess","May 10, 1995","Warner Bros.","Drama","G"
"Gordy","May 12, 1995","Miramax","Adventure","G"
"Pocahontas","Jun 10, 1995","Walt Disney","Adventure","G"
"Babe","Aug 4, 1995","Universal","Adventure","G"
"The Thief and the Cobbler","Aug 25, 1995","Miramax","Adventure","G"
"Across The Sea of Time","Oct 20, 1995","Sony Pictures Classics","Drama","G"
"Toy Story","Nov 22, 1995","Walt Disney","Adventure","G"
"Balto","Dec 22, 1995","Universal","Adventure","G"
"Muppet Treasure Island","Feb 16, 1996","Walt Disney","Adventure","G"
"Homeward Bound II: Lost in San Francisco","Mar 8, 1996","Walt Disney","Adventure","G"
"All Dogs Go To Heaven 2","Mar 29, 1996","MGM","Adventure","G"
"The Hunchback of Notre Dame","Jun 21, 1996","Walt Disney","Adventure","G"
"The Adventures of Pinocchio","Jul 26, 1996","New Line","Adventure","G"
"The Leopard Son","Sep 27, 1996","Discovery/IMAX","","G"
"Microcosmos","Oct 11, 1996","Miramax","Documentary","G"
"101 Dalmatians","Nov 27, 1996","Walt Disney","Adventure","G"
"Cats Don't Dance","Mar 26, 1997","Warner Bros.","Musical","G"
"Hercules","Jun 13, 1997","Walt Disney","Adventure","G"
"Thrill Ride: The Science of Fun","Jul 11, 1997","Sony Pictures Classics","Documentary","G"
"Pippi Longstocking","Aug 22, 1997","Legacy Releasing","Musical","G"
"Anastasia","Nov 14, 1997","20th Century Fox","Musical","G"
"Barney's Great Adventure","Apr 3, 1998","Polygram","Adventure","G"
"Quest for Camelot","May 15, 1998","Warner Bros.","Adventure","G"
"Mulan","Jun 19, 1998","Walt Disney","Adventure","G"
"Mark Twain's America 3D","Jul 3, 1998","Sony Pictures Classics","Documentary","G"
"Air Bud: Golden Receiver","Aug 14, 1998","Miramax","Adventure","G"
"A Bug's Life","Nov 20, 1998","Walt Disney","Adventure","G"
"The Rugrats Movie","Nov 20, 1998","Paramount Pictures","Adventure","G"
"Babe: Pig in the City","Nov 25, 1998","Universal","Adventure","G"
"The Nutcracker","Nov 25, 1998","IMAX Films","Musical","G"
"The King and I","Mar 19, 1999","Warner Bros.","Musical","G"
"Doug's 1st Movie","Mar 26, 1999","Walt Disney","Adventure","G"
"The Winslow Boy","Apr 30, 1999","Sony Pictures Classics","Drama","G"
"Buena Vista Social Club","Jun 4, 1999","Artisan","Documentary","G"
"Tarzan","Jun 16, 1999","Walt Disney","Adventure","G"
"Muppets From Space","Jul 14, 1999","Sony Pictures","Adventure","G"
"The Adventures of Elmo in Grouchland","Oct 1, 1999","Sony Pictures","Adventure","G"
"The Straight Story","Oct 15, 1999","Walt Disney","Drama","G"
"Pokemon: The First Movie","Nov 10, 1999","Warner Bros.","Adventure","G"
"Toy Story 2","Nov 19, 1999","Walt Disney","Adventure","G"
"Fantasia 2000 (IMAX)","Jan 1, 2000","Walt Disney","Musical","G"
"The Cup","Jan 28, 2000","Fine Line","Comedy","G"
"The Tigger Movie","Feb 11, 2000","Walt Disney","Adventure","G"
"Cirque du Soleil - Journey of Man","May 5, 2000","Sony Pictures Classics","Musical","G"
"Running Free","Jun 2, 2000","","","G"
"Fantasia 2000 (Theatrical Release)","Jun 16, 2000","Walt Disney","Musical","G"
"Chicken Run","Jun 21, 2000","Dreamworks SKG","Adventure","G"
"Pokemon 2000","Jul 21, 2000","Warner Bros.","Adventure","G"
"Thomas and the Magic Railroad","Jul 26, 2000","Destination Films","Adventure","G"
"Calle 54","Oct 20, 2000","Miramax","Documentary","G"
"Rugrats in Paris","Nov 17, 2000","Paramount Pictures","Adventure","G"
"102 Dalmatians","Nov 22, 2000","Walt Disney","Adventure","G"
"The Emperor's New Groove","Dec 15, 2000","Walt Disney","Adventure","G"
"Recess: School's Out","Feb 16, 2001","Walt Disney","Adventure","G"
"Pokemon 3: The Movie","Apr 6, 2001","Warner Bros.","Adventure","G"
"The Trumpet of the Swan","May 11, 2001","Sony Pictures","","G"
"The Road Home","May 25, 2001","Sony Pictures Classics","Drama","G"
"Down From the Mountain","Jun 15, 2001","","","G"
"The Princess Diaries","Aug 3, 2001","Walt Disney","Comedy","G"
"The Endurance: Shackleton's Legendary Antarctic Expedition","Oct 5, 2001","Cowboy Pictures","Documentary","G"
"Monsters, Inc.","Nov 2, 2001","Walt Disney","Adventure","G"
"Jimmy Neutron: Boy Genius","Dec 21, 2001","Paramount Pictures","Adventure","G"
"Beauty and the Beast (IMAX)","Jan 1, 2002","Walt Disney","Musical","G"
"Peter Pan: Return to Neverland","Feb 15, 2002","Walt Disney","Adventure","G"
"The Rookie","Mar 29, 2002","Walt Disney","Drama","G"
"Joshua","Apr 19, 2002","Artisan","Drama","G"
"Spirit: Stallion of the Cimarron","May 24, 2002","Dreamworks SKG","Adventure","G"
"The Country Bears","Jul 26, 2002","Walt Disney","Adventure","G"
"Secret Ballot","Aug 9, 2002","","","G"
"Jonah: A VeggieTales Movie","Oct 4, 2002","Artisan","Adventure","G"
"Pokemon 4Ever","Oct 11, 2002","Miramax","Adventure","G"
"The Santa Clause 2","Nov 1, 2002","Walt Disney","Adventure","G"
"The Lion King (IMAX)","Dec 25, 2002","IMAX Films","Adventure","G"
"Pinocchio","Dec 25, 2002","Miramax","Adventure","G"
"The Jungle Book 2","Feb 14, 2003","Walt Disney","Adventure","G"
"Help! I'm a Fish","Feb 28, 2003","","","G"
"Piglet's Big Movie","Mar 21, 2003","Walt Disney","Adventure","G"
"Ghosts of the Abyss","Apr 11, 2003","Walt Disney","Documentary","G"
"Winged Migration","Apr 18, 2003","Sony Pictures Classics","Documentary","G"
"Spellbound","Apr 30, 2003","ThinkFilm","Documentary","G"
"Pokemon Heroes","May 16, 2003","Miramax","Adventure","G"
"Finding Nemo","May 30, 2003","Walt Disney","Adventure","G"
"The Legend of Johnny Lingo","Aug 29, 2003","Innovation Film Group","Adventure","G"
"Brother Bear","Oct 24, 2003","Walt Disney","Adventure","G"
"Young Black Stallion","Dec 25, 2003","Walt Disney","Adventure","G"
"Clifford's Really Big Movie","Apr 23, 2004","Warner Bros.","Adventure","G"
"The Adventures of Ociee Nash","Jul 23, 2004","Flying Zebra Films","Drama","G"
"The Princess Diaries 2: Royal Engagement","Aug 11, 2004","Walt Disney","Romantic Comedy","G"
"Grand Champion","Aug 27, 2004","IFG","Drama","G"
"The Polar Express","Nov 10, 2004","Warner Bros.","Adventure","G"
"Paperclips","Nov 24, 2004","Slowhand Cinema","Documentary","G"
"Aliens of the Deep","Jan 28, 2005","Walt Disney","Documentary","G"
"Pooh's Heffalump Movie","Feb 11, 2005","Walt Disney","Adventure","G"
"The Wild Parrots of Telegraph Hill","Feb 11, 2005","Shadow","Documentary","G"
"Ice Princess","Mar 18, 2005","Walt Disney","Comedy","G"
"Genesis","May 27, 2005","ThinkFilm","Documentary","G"
"Deep Blue","Jun 3, 2005","Miramax","Documentary","G"
"Herbie: Fully Loaded","Jun 22, 2005","Walt Disney","Adventure","G"
"La marche de l'empereur","Jun 24, 2005","Warner Independent","Documentary","G"
"Valiant","Aug 19, 2005","Walt Disney","Adventure","G"
"Wallace & Gromit: The Curse of the Were-Rabbit","Oct 5, 2005","Dreamworks SKG","Adventure","G"
"Emmanuel's Gift","Oct 21, 2005","First Look","Documentary","G"
"Chicken Little","Nov 4, 2005","Walt Disney","Adventure","G"
"Roving Mars","Jan 27, 2006","Walt Disney","Documentary","G"
"Curious George","Feb 10, 2006","Universal","Adventure","G"
"Doogal","Feb 24, 2006","Weinstein Co.","Adventure","G"
"Deep Sea 3D","Mar 3, 2006","Warner Bros.","Documentary","G"
"The Wild","Apr 14, 2006","Walt Disney","Adventure","G"
"Cars","Jun 9, 2006","Walt Disney","Adventure","G"
"Everyone's Hero","Sep 15, 2006","20th Century Fox","Adventure","G"
"Romeo & Juliet: Sealed with a Kiss","Oct 27, 2006","Indican Pictures","Adventure","G"
"The Santa Clause 3: The Escape Clause","Nov 3, 2006","Walt Disney","Adventure","G"
"Cave of the Yellow Dog","Nov 10, 2006","Tartan Films","","G"
"Charlotte's Web","Dec 15, 2006","Paramount Pictures","Drama","G"
"Meet the Robinsons","Mar 30, 2007","Walt Disney","Adventure","G"
"Eloise in Hollywood","May 6, 2007","The Bigger Picture","","G"
"Ratatouille","Jun 29, 2007","Walt Disney","Adventure","G"
"Arctic Tale","Jul 25, 2007","Paramount Vantage","Documentary","G"
"Mr. Bean’s Holiday","Aug 24, 2007","Universal","Adventure","G"
"A Man Named Pearl","Aug 31, 2007","Railroad Square","Documentary","G"
"Moondance Alexander","Oct 19, 2007","The Bigger Picture","Drama","G"
"Mr. Magorium's Wonder Emporium","Nov 16, 2007","20th Century Fox","Comedy","G"
"The Pirates Who Don't Do Anything: A VeggieTales Movie","Jan 11, 2008","Universal","Adventure","G"
"U2 3D","Jan 23, 2008","National Geographic…","Concert/Performance","G"
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour","Feb 1, 2008","Walt Disney","Concert/Performance","G"
"College Road Trip","Mar 7, 2008","Walt Disney","Adventure","G"
"Horton Hears a Who","Mar 14, 2008","20th Century Fox","Adventure","G"
"Encounters at the End of the World","Jun 11, 2008","ThinkFilm","Documentary","G"
"Kit Kittredge: An American Girl","Jun 20, 2008","Picturehouse","Drama","G"
"WALL-E","Jun 27, 2008","Walt Disney","Adventure","G"
"Space Chimps","Jul 18, 2008","20th Century Fox","Adventure","G"
"Fly Me To the Moon","Aug 15, 2008","Summit Entertainment","Adventure","G"
"High School Musical 3: Senior Year","Oct 24, 2008","Walt Disney","Musical","G"
"The Tale of Despereaux","Dec 19, 2008","Universal","Adventure","G"
"Under the Sea 3D","Feb 13, 2009","Warner Bros.","Documentary","G"
"Jonas Brothers: The 3D Concert Experience","Feb 27, 2009","Walt Disney","Concert/Performance","G"
"Hannah Montana the Movie","Apr 10, 2009","Walt Disney","Drama","G"
"Earth","Apr 22, 2009","Walt Disney","Documentary","G"
"Gake no ue no Ponyo","Aug 14, 2009","Walt Disney","Adventure","G"
"Toy Story 3D Double Feature","Oct 2, 2009","Walt Disney","Adventure","G"
"The Princess and the Frog","Nov 25, 2009","Walt Disney","Adventure","G"
"Hubble 3D","Mar 19, 2010","Warner Bros.","Documentary","G"
"Oceans","Apr 22, 2010","Walt Disney","Documentary","G"
"Toy Story 3","Jun 18, 2010","Walt Disney","Adventure","G"
"Alamar","Jul 14, 2010","Film Movement","Drama","G"
"Ramona and Beezus","Jul 23, 2010","20th Century Fox","Adventure","G"
"Elvis on Tour","Jul 29, 2010","Warner Bros.","Concert/Performance","G"
"Gnomeo and Juliet","Feb 11, 2011","Walt Disney","Comedy","G"
"Justin Bieber: Never Say Never","Feb 11, 2011","Paramount Pictures","Concert/Performance","G"
"Under the Boardwalk: The MONOPOLY Story","Mar 4, 2011","Self Distributed","Documentary","G"
"Lord of the Dance 3D","Mar 17, 2011","Kaleidoscope Pictures","Musical","G"
"Born to be Wild 3D","Apr 8, 2011","Warner Bros.","Documentary","G"
"Rio","Apr 15, 2011","20th Century Fox","Adventure","G"
"African Cats","Apr 22, 2011","Walt Disney","Documentary","G"
"Cave of Forgotten Dreams","Apr 29, 2011","IFC Films","Documentary","G"
"Cars 2","Jun 24, 2011","Walt Disney","Adventure","G"
"Turtle: The Incredible Journey","Jun 24, 2011","Hannover House","Documentary","G"
"Winnie the Pooh","Jul 15, 2011","Walt Disney","Adventure","G"
"Seven Days In Utopia","Sep 2, 2011","Visio Entertainment","Drama","G"
"The Whale","Sep 9, 2011","Paladin","Documentary","G"
"The Mighty Macs","Oct 21, 2011","Quaker Media","Drama","G"
"Alvin and the Chipmunks: Chipwrecked","Dec 16, 2011","20th Century Fox","Adventure","G"
"Kari gurashi no Arietti","Feb 17, 2012","Walt Disney","Adventure","G"
"Chimpanzee","Apr 20, 2012","Walt Disney","Documentary","G"
"To the Arctic 3D","Apr 20, 2012","Warner Bros.","Documentary","G"
"The Oogieloves in the BIG Balloon Adventure","Aug 29, 2012","Kenn Viselman Presents","Adventure","G"
"Mindless Behavior: All Around The World","Mar 15, 2013","AwesomenessTV, Conj…","Concert/Performance","G"
"Monsters University","Jun 21, 2013","Walt Disney","Adventure","G"
"American Made Movie","Aug 30, 2013","Variance Films","Documentary","G"
"Journey to the South Pacific","Nov 27, 2013","MacGillivray Freema…","Documentary","G"
"Island of Lemurs: Madagascar","Apr 4, 2014","Warner Bros.","Documentary","G"
"Rio 2","Apr 11, 2014","20th Century Fox","Adventure","G"
"Bears","Apr 18, 2014","Walt Disney","Documentary","G"
"The Hero of Color City","Oct 3, 2014","Magnolia Pictures","Adventure","G"
"Pelican Dreams","Oct 24, 2014","Shadow","Documentary","G"
"Dr. Cabbie","Nov 26, 2014","Eros Entertainment","Comedy","G"
"Sur le chemin de l'ecole","Feb 6, 2015","Distrib Films","Documentary","G"
"Monkey Kingdom","Apr 17, 2015","Walt Disney","Documentary","G"
"Maya the Bee","May 1, 2015","Shout! Factory","Adventure","G"
"Dukale's Dream","Jun 5, 2015","The 7th Floor","Documentary","G"
"Beyond the Brick: A LEGO Brickumentary","Jul 31, 2015","RADiUS-TWC","Documentary","G"
"The Peanuts Movie","Nov 6, 2015","20th Century Fox","Adventure","G"
"A Beautiful Planet","Apr 29, 2016","Walt Disney","Documentary","G"
"Lasseter's Bones","May 27, 2016","Level 33","Documentary","G"
"Space Dogs: Adventure to the Moon","Aug 26, 2016","Epic Pictures Group","Adventure","G"
"Voyage of Time","Oct 7, 2016","Broad Green Pictures","Documentary","G"
"The Eagle Huntress","Nov 2, 2016","Sony Pictures Classics","Documentary","G"
"A Kind of Loving","Apr 7, 2017","Rialto Pictures","Drama","G"
"Born in China","Apr 21, 2017","Walt Disney","Documentary","G"
"Cars 3","Jun 16, 2017","Walt Disney","Adventure","G"
"Earth: One Amazing Day","Oct 6, 2017","Atlas Distribution","Documentary","G"
"Dolphins","Apr 20, 2018","Walt Disney","Documentary","G"
"Multiple Maniacs","Apr 10, 1970","Janus Films","Comedy","NC17"
"The Evil Dead","Apr 15, 1983","New Line","Horror","NC17"
"Matador","Jan 1, 1986","","","NC17"
"La ley del deseo","Apr 3, 1987","Cinevista","Comedy","NC17"
"The Cook, The Thief, His Wife, and Her Lover","Apr 6, 1990","Miramax","","NC17"
"¡Átame!","May 1, 1990","Miramax","Drama","NC17"
"Henry & June","Oct 5, 1990","Universal","Drama","NC17"
"Whore","Oct 4, 1991","Trimark","Drama","NC17"
"Showgirls","Sep 22, 1995","MGM","Drama","NC17"
"Delta of Venus","Oct 13, 1995","Fine Line","Drama","NC17"
"Pink Flamingos","Apr 11, 1997","Fine Line","","NC17"
"Bent","Nov 26, 1997","MGM","Drama","NC17"
"Orgazmo","Oct 23, 1998","October Films","Comedy","NC17"
"Trois","Feb 11, 2000","Rainforest Productions","Thriller/Suspense","NC17"
"The Dreamers","Feb 6, 2004","Fox Searchlight","Drama","NC17"
"Young Adam","Apr 16, 2004","Sony Pictures Classics","Drama","NC17"
"A Dirty Shame","Sep 17, 2004","Fine Line","Comedy","NC17"
"La mala educación","Nov 19, 2004","Sony Pictures Classics","Drama","NC17"
"Inside Deep Throat","Feb 11, 2005","Universal","Documentary","NC17"
"Ma mère","May 13, 2005","TLA Releasing","Drama","NC17"
"Se jie","Sep 28, 2007","Focus Features","Drama","NC17"
"Frontière(s)","May 9, 2008","After Dark","Horror","NC17"
"Shame","Dec 2, 2011","Fox Searchlight","Drama","NC17"
"Elles","Apr 27, 2012","Kino Lorber","Drama","NC17"
"La Vie d'Adèle – Chapitres 1 & 2","Oct 11, 2013","IFC Films","Drama","NC17"
"Lucky Bastard","Feb 14, 2014","CAVU Releasing","Thriller/Suspense","NC17"
"Swearnet: The Movie","Sep 12, 2014","Dada Films","Comedy","NC17"
"La Bete","Dec 5, 2014","IFC Midnight","Drama","NC17"
"Contes immoraux","Dec 12, 2014","IFC Midnight","Drama","NC17"
"Homeland: Iraq Year Zero","Oct 6, 2016","Kino Lorber","Documentary","NC17"
"Le Voyage dans la Lune","Oct 4, 1902","Flicker Alley","Adventure","NR"
"The Birth of a Nation","Feb 8, 1915","","Drama","NR"
"Intolerance","Sep 5, 1916","","","NR"
"Les vampires","Nov 23, 1916","","","NR"
"Over the Hill to the Poorhouse","Sep 17, 1920","","","NR"
"The Kid","Jan 1, 1921","","","NR"
"Foolish Wives","Nov 11, 1922","Universal","Drama","NR"
"The Covered Wagon","Mar 16, 1923","","","NR"
"Safety Last!","Apr 1, 1923","Pathe Contemporary …","Comedy","NR"
"Der Letzte Mann","Jan 5, 1924","Universal","Drama","NR"
"Der müde Tod","Jul 6, 1924","Kino Lorber","Thriller/Suspense","NR"
"The Big Parade","Jan 1, 1925","MGM","Drama","NR"
"The Gold Rush","Jun 26, 1925","United Artists","","NR"
"The Phantom of the Opera","Nov 15, 1925","Universal","Horror","NR"
"Ben-Hur: A Tale of the Christ","Dec 30, 1925","MGM","Adventure","NR"
"Moana","Jan 7, 1926","Paramount Pictures","Documentary","NR"
"Faust","Dec 6, 1926","MGM","Horror","NR"
"Metropolis","Mar 6, 1927","Paramount Pictures","Action","NR"
"The Epic of Everest","Mar 22, 1927","Kino International","Documentary","NR"
"Dr. Mabuse der Spieler","Aug 8, 1927","","Thriller/Suspense","NR"
"College","Sep 27, 1927","United Artists","Comedy","NR"
"The Jazz Singer","Oct 6, 1927","","","NR"
"Sunrise","Nov 4, 1927","","Drama","NR"
"Steamboat Bill, Jr.","May 20, 1928","","Comedy","NR"
"Der Blaue Engel","Dec 5, 1930","Paramount Pictures","Musical","NR"
"The Front Page","Apr 4, 1931","","Comedy","NR"
"Chances","Jul 18, 1931","Warner Bros.","Drama","NR"
"Vampyr","May 6, 1932","","","NR"
"42nd Street","Mar 9, 1933","Warner Bros.","Musical","NR"
"King Kong","Apr 7, 1933","","Horror","NR"
