"Movie","ReleaseDate","ProductionBudget","DomesticGross","WorldwideGross","Distributor","Genre","Rating"
"Green Lantern","06/17/2011","$200,000,000","$116,601,172","$219,535,492","Warner Bros.","Action","PG-13"
"Prince of Persia: Sands of Time","05/28/2010","$200,000,000","$90,759,676","$314,594,597","Walt Disney","Action","PG-13"
"Transformers: Dark of the Moon","06/29/2011","$195,000,000","$352,390,543","$1,123,790,543","Paramount Pictures","Action","PG-13"
"The Mummy","06/09/2017","$195,000,000","$80,101,125","$410,333,326","Universal","Adventure","PG-13"
"Jack the Giant Slayer","03/01/2013","$195,000,000","$65,187,603","$197,687,603","Warner Bros.","Adventure","PG-13"
"Furious 7","04/03/2015","$190,000,000","$353,007,020","$1,518,722,794","Universal","Action","PG-13"
"Star Trek Into Darkness","05/16/2013","$190,000,000","$228,778,661","$467,381,584","Paramount Pictures","Adventure","PG-13"
"World War Z","06/21/2013","$190,000,000","$202,359,711","$531,514,650","Paramount Pictures","Action","PG-13"
"The Great Gatsby","05/10/2013","$190,000,000","$144,840,419","$351,040,419","Warner Bros.","Drama","PG-13"
"Disney’s A Christmas Carol","11/06/2009","$190,000,000","$137,855,863","$315,709,697","Walt Disney","Drama","PG"
"Pacific Rim","07/12/2013","$190,000,000","$101,802,906","$411,002,906","Warner Bros.","Action","PG-13"
"The Good Dinosaur","11/25/2015","$187,500,000","$123,087,120","$334,342,692","Walt Disney","Adventure","PG"
"Iron Man","05/02/2008","$186,000,000","$318,604,126","$585,171,547","Paramount Pictures","Action","PG-13"
"The Dark Knight","07/18/2008","$185,000,000","$533,345,358","$1,001,620,618","Warner Bros.","Action","PG-13"
"Indiana Jones and the Kingdom of the Crystal Skull","05/22/2008","$185,000,000","$317,023,851","$786,558,145","Paramount Pictures","Adventure","PG-13"
"Brave","06/22/2012","$185,000,000","$237,282,182","$554,606,532","Walt Disney","Adventure","PG"
"Kong: Skull Island","03/10/2017","$185,000,000","$168,052,812","$561,137,727","Warner Bros.","Adventure","PG-13"
"Star Trek Beyond","07/22/2016","$185,000,000","$158,848,340","$336,398,312","Paramount Pictures","Adventure","PG-13"
"Blade Runner 2049","10/06/2017","$185,000,000","$92,054,159","$258,978,008","Warner Bros.","Thriller/Suspense","R"
"Thor: Ragnarok","11/03/2017","$180,000,000","$314,143,225","$849,738,348","Walt Disney","Action","PG-13"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","12/09/2005","$180,000,000","$291,710,957","$720,539,572","Walt Disney","Adventure","PG"
"Maleficent","05/30/2014","$180,000,000","$241,407,328","$758,536,735","Walt Disney","Adventure","PG"
"Fantastic Beasts and Where to Find Them","11/18/2016","$180,000,000","$234,037,575","$803,798,342","Warner Bros.","Adventure","PG-13"
"WALL-E","06/27/2008","$180,000,000","$223,808,164","$532,508,025","Walt Disney","Adventure","G"
"Rush Hour 3","08/10/2007","$180,000,000","$140,125,968","$256,585,882","New Line","Action","PG-13"
"The Legend of Tarzan","07/01/2016","$180,000,000","$126,643,061","$349,143,061","Warner Bros.","Adventure","PG-13"
"Hugo","11/23/2011","$180,000,000","$73,864,507","$180,047,784","Paramount Pictures","Adventure","PG"
"Valerian and the City of a Thousand Planets","07/21/2017","$180,000,000","$40,479,370","$215,116,144","STX Entertainment","Adventure","PG-13"
"Jupiter Ascending","02/06/2015","$179,000,000","$47,482,519","$181,982,519","Warner Bros.","Action","PG-13"
"X-Men: Apocalypse","05/27/2016","$178,000,000","$155,442,489","$542,742,489","20th Century Fox","Action","PG-13"
"Edge of Tomorrow","06/06/2014","$178,000,000","$100,206,256","$370,541,256","Warner Bros.","Action","PG-13"
"The Jungle Book","04/15/2016","$175,000,000","$364,001,123","$963,901,123","Walt Disney","Adventure","PG"
"Inside Out","06/19/2015","$175,000,000","$356,461,711","$853,707,581","Walt Disney","Adventure","PG"
"Spider-Man: Homecoming","07/07/2017","$175,000,000","$334,201,140","$880,206,511","Sony Pictures","Action","PG-13"
"Suicide Squad","08/05/2016","$175,000,000","$325,100,054","$746,100,054","Warner Bros.","Action","PG-13"
"Up","05/29/2009","$175,000,000","$293,004,164","$731,463,377","Walt Disney","Adventure","PG"
"Coco","11/22/2017","$175,000,000","$205,429,341","$701,722,203","Walt Disney","Musical","PG"
"Monsters vs. Aliens","03/27/2009","$175,000,000","$198,351,526","$381,687,380","Paramount Pictures","Adventure","PG"
"G.I. Joe: The Rise of Cobra","08/07/2009","$175,000,000","$150,201,498","$302,469,017","Paramount Pictures","Action","PG-13"
"Wild Wild West","06/30/1999","$175,000,000","$113,805,681","$221,229,335","Warner Bros.","Adventure","PG-13"
"The Mummy: Tomb of the Dragon Emperor","08/01/2008","$175,000,000","$102,491,776","$405,760,225","Universal","Adventure","PG-13"
"Evan Almighty","06/22/2007","$175,000,000","$100,289,690","$174,131,329","Universal","Comedy","PG"
"Waterworld","07/28/1995","$175,000,000","$88,246,220","$264,246,220","Universal","Action","PG-13"
"King Arthur: Legend of the Sword","05/12/2017","$175,000,000","$39,175,066","$140,012,608","Warner Bros.","Adventure","PG-13"
"47 Ronin","12/25/2013","$175,000,000","$38,362,475","$151,716,815","Universal","Action","PG-13"
"Guardians of the Galaxy","08/01/2014","$170,000,000","$333,172,112","$771,051,335","Walt Disney","Adventure","PG-13"
"Iron Man 2","05/07/2010","$170,000,000","$312,433,331","$621,156,389","Paramount Pictures","Adventure","PG-13"
"Captain America: The Winter Soldier","04/04/2014","$170,000,000","$259,746,958","$714,401,889","Walt Disney","Action","PG-13"
"Dawn of the Planet of the Apes","07/11/2014","$170,000,000","$208,545,589","$710,644,566","20th Century Fox","Adventure","PG-13"
"The Polar Express","11/10/2004","$170,000,000","$185,616,723","$309,757,305","Warner Bros.","Adventure","G"
"Snow White and the Huntsman","06/01/2012","$170,000,000","$155,136,755","$401,021,746","Universal","Adventure","PG-13"
"Terminator 3: Rise of the Machines","07/01/2003","$170,000,000","$150,358,296","$433,058,296","Warner Bros.","Action","R"
"Van Helsing","05/07/2004","$170,000,000","$120,150,546","$300,150,546","Universal","Action","PG-13"
"Tomorrowland","05/22/2015","$170,000,000","$93,436,322","$207,283,457","Walt Disney","Adventure","PG"
"Alice Through the Looking Glass","05/27/2016","$170,000,000","$77,042,381","$277,442,381","Walt Disney","Adventure","PG"
"Shrek Forever After","05/21/2010","$165,000,000","$238,736,787","$756,244,673","Paramount Pictures","Adventure","PG"
"Doctor Strange","11/04/2016","$165,000,000","$232,641,920","$677,541,920","Walt Disney","Adventure","PG-13"
"Big Hero 6","11/07/2014","$165,000,000","$222,527,828","$652,127,828","Walt Disney","Adventure","PG"
"How to Train Your Dragon","03/26/2010","$165,000,000","$217,581,231","$494,870,991","Paramount Pictures","Adventure","PG"
"Wreck-It Ralph","11/02/2012","$165,000,000","$189,412,677","$496,511,521","Walt Disney","Adventure","PG"
"Interstellar","11/05/2014","$165,000,000","$188,017,894","$667,752,422","Paramount Pictures","Adventure","PG-13"
"Independence Day: Resurgence","06/24/2016","$165,000,000","$103,144,286","$387,644,286","20th Century Fox","Action","PG-13"
"Cowboys and Aliens","07/29/2011","$163,000,000","$100,240,551","$175,910,315","Universal","Action","PG-13"
"Beauty and the Beast","03/17/2017","$160,000,000","$504,014,165","$1,263,109,573","Walt Disney","Musical","PG"
"Shrek the Third","05/17/2007","$160,000,000","$322,719,944","$807,330,936","Paramount Pictures","Adventure","PG"
"Inception","07/16/2010","$160,000,000","$292,576,195","$832,402,082","Warner Bros.","Thriller/Suspense","PG-13"
"The Hunger Games: Mockingjay - Part 2","11/20/2015","$160,000,000","$281,723,902","$650,523,427","Lionsgate","Thriller/Suspense","PG-13"
"Fast and Furious 6","05/24/2013","$160,000,000","$238,679,850","$789,300,444","Universal","Action","PG-13"
"Godzilla","05/16/2014","$160,000,000","$200,676,069","$529,076,069","Warner Bros.","Action","PG-13"
"X-Men: First Class","06/03/2011","$160,000,000","$146,408,305","$355,408,305","20th Century Fox","Action","PG-13"
"The Curious Case of Benjamin Button","12/25/2008","$160,000,000","$127,509,326","$329,631,958","Paramount Pictures","Drama","PG-13"
"The Sorcerer's Apprentice","07/14/2010","$160,000,000","$63,150,991","$217,986,320","Walt Disney","Adventure","PG"
"Poseidon","05/12/2006","$160,000,000","$60,674,817","$181,674,817","Warner Bros.","Adventure","PG-13"
"Warcraft","06/10/2016","$160,000,000","$47,225,655","$433,125,655","Universal","Action","PG-13"
"Aquaman","12/21/2018","$160,000,000","$0","$0","Warner Bros.","Action","NR"
"Deepwater Horizon","09/30/2016","$156,000,000","$61,433,527","$122,931,214","Lionsgate","Drama","PG-13"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","12/10/2010","$155,000,000","$104,386,950","$418,186,950","20th Century Fox","Adventure","PG"
"Terminator: Genisys","07/01/2015","$155,000,000","$89,760,956","$440,160,956","Paramount Pictures","Action","PG-13"
"Alexander","11/24/2004","$155,000,000","$34,297,191","$167,297,191","Warner Bros.","Adventure","R"
"War for the Planet of the Apes","07/14/2017","$152,000,000","$146,880,162","$490,280,162","20th Century Fox","Action","PG-13"
"Pearl Harbor","05/25/2001","$151,500,000","$198,539,855","$449,239,855","Walt Disney","Action","PG-13"
"Transformers","07/02/2007","$151,000,000","$319,246,193","$708,272,592","Paramount Pictures","Action","PG-13"
"Wonder Woman","06/02/2017","$150,000,000","$412,563,408","$817,012,815","Warner Bros.","Action","PG-13"
"Frozen","11/22/2013","$150,000,000","$400,738,009","$1,274,234,980","Walt Disney","Musical","PG"
"Zootopia","03/04/2016","$150,000,000","$341,268,248","$1,019,920,974","Walt Disney","Adventure","PG"
"Harry Potter and the Order of the Phoenix","07/11/2007","$150,000,000","$292,004,738","$942,943,935","Warner Bros.","Adventure","PG-13"
"Harry Potter and the Goblet of Fire","11/18/2005","$150,000,000","$290,013,036","$896,911,078","Warner Bros.","Adventure","PG-13"
"The Matrix Reloaded","05/15/2003","$150,000,000","$281,553,689","$738,576,929","Warner Bros.","Action","R"
"I am Legend","12/14/2007","$150,000,000","$256,393,010","$585,532,684","Warner Bros.","Horror","PG-13"
"Moana","11/23/2016","$150,000,000","$248,757,044","$639,537,208","Walt Disney","Musical","PG"
"Hancock","07/01/2008","$150,000,000","$227,946,274","$624,234,272","Sony Pictures","Action","PG-13"
"Charlie and the Chocolate Factory","07/15/2005","$150,000,000","$206,459,076","$475,825,484","Warner Bros.","Adventure","PG"
"Ratatouille","06/29/2007","$150,000,000","$206,445,654","$626,549,695","Walt Disney","Adventure","G"
"Thor: The Dark World","11/08/2013","$150,000,000","$206,362,140","$644,602,516","Walt Disney","Adventure","PG-13"
"Batman Begins","06/15/2005","$150,000,000","$205,343,774","$359,142,722","Warner Bros.","Action","PG-13"
"Mission: Impossible—Rogue Nation","07/31/2015","$150,000,000","$195,042,377","$700,868,363","Paramount Pictures","Action","PG-13"
"Dunkirk","07/21/2017","$150,000,000","$188,373,161","$503,641,626","Warner Bros.","Action","PG-13"
"Thor","05/06/2011","$150,000,000","$181,030,624","$449,326,618","Paramount Pictures","Action","PG-13"
"Madagascar: Escape 2 Africa","11/07/2008","$150,000,000","$180,010,950","$599,516,844","Paramount Pictures","Adventure","PG"
"X-Men Origins: Wolverine","05/01/2009","$150,000,000","$179,883,157","$374,825,760","20th Century Fox","Action","PG-13"
"Night at the Museum: Battle of the Smithsonian","05/22/2009","$150,000,000","$177,243,721","$402,231,063","20th Century Fox","Adventure","PG"
"Kung Fu Panda 2","05/26/2011","$150,000,000","$165,249,063","$664,837,547","Paramount Pictures","Adventure","PG"
