"Movie","ReleaseDate","ProductionBudget","DomesticGross","WorldwideGross","Distributor","Genre","Rating"
"Curious George","02/10/2006","$50,000,000","$58,640,119","$71,052,604","Universal","Adventure","G"
"American Reunion","04/06/2012","$50,000,000","$56,758,835","$236,799,211","Universal","Comedy","R"
"Hansel & Gretel: Witch Hunters","01/25/2013","$50,000,000","$55,703,475","$214,949,716","Paramount Pictures","Action","R"
"I am Number Four","02/18/2011","$50,000,000","$55,100,437","$146,195,159","Walt Disney","Adventure","PG-13"
"Don’t Say a Word","09/28/2001","$50,000,000","$54,997,476","$104,488,383","20th Century Fox","Thriller/Suspense","R"
"13 Hours: The Secret Soldiers of Benghazi","01/15/2016","$50,000,000","$52,853,219","$69,411,370","Paramount Pictures","Drama","R"
"Unfaithful","05/08/2002","$50,000,000","$52,752,475","$119,114,494","20th Century Fox","Drama","R"
"American Made","09/29/2017","$50,000,000","$51,342,000","$135,581,390","Universal","Thriller/Suspense","R"
"Syriana","11/23/2005","$50,000,000","$50,824,620","$92,690,959","Warner Bros.","Thriller/Suspense","R"
"Resident Evil: Apocalypse","09/10/2004","$50,000,000","$50,740,078","$125,168,734","Sony Pictures","Horror","R"
"The Book of Life","10/17/2014","$50,000,000","$50,151,543","$97,651,543","20th Century Fox","Adventure","PG"
"Absolute Power","02/14/1997","$50,000,000","$50,068,310","$50,068,310","Sony Pictures","Thriller/Suspense","R"
"Firewall","02/10/2006","$50,000,000","$48,751,189","$82,751,189","Warner Bros.","Thriller/Suspense","PG-13"
"The Game","09/12/1997","$50,000,000","$48,265,581","$80,369,970","Polygram","Thriller/Suspense","R"
"G.I. Jane","08/22/1997","$50,000,000","$48,169,156","$48,169,156","Walt Disney","Drama","R"
"Into the Storm","08/08/2014","$50,000,000","$47,602,194","$150,429,371","Warner Bros.","Thriller/Suspense","PG-13"
"The Judge","10/10/2014","$50,000,000","$47,119,388","$76,119,388","Warner Bros.","Drama","R"
"Silent Hill","04/21/2006","$50,000,000","$46,982,632","$94,704,227","Sony Pictures","Horror","R"
"The Replacements","08/11/2000","$50,000,000","$44,737,059","$50,054,511","Warner Bros.","Comedy","PG-13"
"The Negotiator","07/29/1998","$50,000,000","$44,705,766","$49,105,766","Warner Bros.","Action","R"
"War Dogs","08/19/2016","$50,000,000","$43,034,523","$83,034,523","Warner Bros.","Comedy","R"
"Beverly Hills Cop III","05/25/1994","$50,000,000","$42,586,861","$119,180,938","Paramount Pictures","Action","R"
"Gremlins 2: The New Batch","06/15/1990","$50,000,000","$41,476,097","$41,476,097","Warner Bros.","Comedy","PG-13"
"The Peacemaker","09/26/1997","$50,000,000","$41,263,140","$62,967,368","Dreamworks SKG","Action","R"
"Out of Time","10/03/2003","$50,000,000","$41,083,108","$55,489,826","MGM","Thriller/Suspense","PG-13"
"Bridget Jones: The Edge Of Reason","11/12/2004","$50,000,000","$40,203,020","$263,894,551","Universal","Romantic Comedy","R"
"The Beach","02/11/2000","$50,000,000","$39,778,599","$39,778,599","20th Century Fox","Drama","R"
"The Adventures of Sharkboy and Lavagirl in 3-D","06/10/2005","$50,000,000","$39,177,684","$69,425,966","Miramax/Dimension","Adventure","PG"
"On Deadly Ground","02/18/1994","$50,000,000","$38,590,458","$38,590,458","Warner Bros.","Action","R"
"Ninja Assassin","11/25/2009","$50,000,000","$38,122,883","$62,209,892","Warner Bros.","Action","R"
"Raising Helen","05/28/2004","$50,000,000","$37,485,528","$49,928,680","Walt Disney","Comedy","PG-13"
"The Nice Guys","05/20/2016","$50,000,000","$36,261,763","$57,261,763","Warner Bros.","Black Comedy","R"
"For Love of the Game","09/17/1999","$50,000,000","$35,188,640","$46,112,640","Universal","Drama","PG-13"
"Jack Frost","12/11/1998","$50,000,000","$34,645,374","$34,645,374","Warner Bros.","Comedy","PG"
"Marmaduke","06/04/2010","$50,000,000","$33,644,788","$89,895,930","20th Century Fox","Adventure","PG"
"Striptease","06/28/1996","$50,000,000","$33,109,743","$113,309,743","Sony Pictures","Comedy","R"
"Hereafter","10/15/2010","$50,000,000","$32,746,941","$105,246,941","Warner Bros.","Thriller/Suspense","PG-13"
"Murder by Numbers","04/19/2002","$50,000,000","$31,874,869","$56,643,267","Warner Bros.","Thriller/Suspense","R"
"Assassins","10/06/1995","$50,000,000","$30,306,268","$83,306,268","Warner Bros.","Action","R"
"Zoolander 2","02/12/2016","$50,000,000","$28,848,693","$55,348,693","Paramount Pictures","Comedy","PG-13"
"Defiance","01/16/2009","$50,000,000","$28,644,813","$52,987,754","Paramount Vantage","Drama","R"
"Hannibal Rising","02/09/2007","$50,000,000","$27,669,725","$80,583,311","Weinstein Co.","Thriller/Suspense","R"
"The Story of Us","10/15/1999","$50,000,000","$27,100,030","$27,100,030","Universal","Romantic Comedy","R"
"The Host","03/29/2013","$50,000,000","$26,623,701","$64,477,051","Open Road","Thriller/Suspense","PG-13"
"Basic","03/28/2003","$50,000,000","$26,599,248","$42,598,498","Sony Pictures","Thriller/Suspense","R"
"Run All Night","03/13/2015","$50,000,000","$26,461,644","$66,961,644","Warner Bros.","Action","R"
"Blood Work","08/09/2002","$50,000,000","$26,199,517","$26,199,517","Warner Bros.","Thriller/Suspense","R"
"The International","02/13/2009","$50,000,000","$25,450,527","$53,850,527","Sony Pictures","Thriller/Suspense","R"
"Escape from L.A.","08/09/1996","$50,000,000","$25,426,861","$25,426,861","Paramount Pictures","Action","R"
"Twisted","02/27/2004","$50,000,000","$25,195,050","$40,119,848","Paramount Pictures","Thriller/Suspense","R"
"The Life Aquatic with Steve Zissou","12/10/2004","$50,000,000","$24,006,726","$34,806,726","Walt Disney","Comedy","R"
"The Iron Giant","08/04/1999","$50,000,000","$23,159,305","$31,333,917","Warner Bros.","Adventure","PG"
"Your Highness","04/08/2011","$50,000,000","$21,596,445","$26,121,638","Universal","Comedy","R"
"Snowden","09/16/2016","$50,000,000","$21,587,519","$34,301,950","Open Road","Drama","R"
"Dream House","09/30/2011","$50,000,000","$21,302,340","$41,642,166","Universal","Horror","PG-13"
"Free State of Jones","06/24/2016","$50,000,000","$20,810,036","$23,152,018","STX Entertainment","Drama","R"
"Gamer","09/04/2009","$50,000,000","$20,534,907","$42,002,029","Lionsgate","Action","R"
"Man of the House","02/25/2005","$50,000,000","$19,699,706","$22,099,706","Sony Pictures","Comedy","PG-13"
"The Life of David Gale","02/21/2003","$50,000,000","$19,694,635","$28,920,188","Universal","Thriller/Suspense","R"
"Beautiful Creatures","02/14/2013","$50,000,000","$19,452,138","$60,282,876","Warner Bros.","Thriller/Suspense","PG-13"
"Into the Blue","09/30/2005","$50,000,000","$18,782,227","$41,982,227","Sony Pictures","Adventure","PG-13"
"Eastern Promises","09/14/2007","$50,000,000","$17,181,265","$56,077,088","Focus Features","Thriller/Suspense","R"
"Baby's Day Out","07/01/1994","$50,000,000","$16,581,575","$16,581,575","20th Century Fox","Adventure","PG"
"The Messenger: The Story of Joan of Arc","11/12/1999","$50,000,000","$14,271,297","$14,271,297","Sony Pictures","Drama","R"
"Fair Game","11/03/1995","$50,000,000","$11,497,497","$26,097,497","Warner Bros.","Action","R"
"Drive Angry","02/25/2011","$50,000,000","$10,721,033","$41,042,583","Summit Entertainment","Action","R"
"Mad City","11/07/1997","$50,000,000","$10,561,038","$10,561,038","Warner Bros.","Drama","PG-13"
"The Scarlet Letter","10/13/1995","$50,000,000","$10,359,006","$10,359,006","Walt Disney","Drama","R"
"Domino","10/14/2005","$50,000,000","$10,169,202","$22,969,202","New Line","Action","R"
"Jade","10/13/1995","$50,000,000","$9,812,870","$9,812,870","Paramount Pictures","Thriller/Suspense","R"
"Street Fighter: The Legend of Chun-Li","02/27/2009","$50,000,000","$8,695,722","$11,895,722","20th Century Fox","Action","PG-13"
"Death to Smoochy","03/29/2002","$50,000,000","$8,355,815","$8,374,062","Warner Bros.","Black Comedy","R"
"The Boat That Rocked","11/13/2009","$50,000,000","$8,017,467","$37,472,651","Focus Features","Comedy","R"
"The Big Bounce","01/30/2004","$50,000,000","$6,471,394","$6,626,115","Warner Bros.","Comedy","PG-13"
"What Planet Are You From?","03/03/2000","$50,000,000","$6,291,602","$6,291,602","Sony Pictures","Comedy","R"
"Peter Rabbit","02/09/2018","$50,000,000","$5,725,000","$5,725,000","Sony Pictures","Adventure","PG"
"Child 44","04/17/2015","$50,000,000","$1,224,330","$3,434,330","Lionsgate","Thriller/Suspense","R"
"Outlander","01/23/2009","$50,000,000","$166,003","$1,250,617","Third Rail","Adventure","R"
"Upside Down","03/15/2013","$50,000,000","$102,118","$26,387,039","Alchemy","Romantic Comedy","PG-13"
"Shanghai","10/02/2015","$50,000,000","$46,425","$15,505,922","Weinstein Co.","Drama","R"
"Early Man","02/16/2018","$50,000,000","$0","$6,309,580","Lionsgate","Adventure","PG"
"The One","11/02/2001","$49,000,000","$43,905,746","$72,689,126","Sony Pictures","Action","PG-13"
"Chappie","03/06/2015","$49,000,000","$31,569,268","$105,002,056","Sony Pictures","Action","R"
"The Adventures of Ford Fairlane","07/11/1990","$49,000,000","$20,423,389","$20,423,389","20th Century Fox","Comedy","R"
"Anna Karenina","11/16/2012","$49,000,000","$12,816,367","$71,004,627","Focus Features","Drama","R"
"Indiana Jones and the Last Crusade","05/24/1989","$48,000,000","$197,171,806","$474,171,806","Paramount Pictures","Adventure","PG-13"
"The Ring","10/18/2002","$48,000,000","$129,094,024","$248,218,486","Dreamworks SKG","Horror","PG-13"
"Traffic","12/27/2000","$48,000,000","$124,107,476","$208,300,000","USA Films","Drama","R"
"Panic Room","03/29/2002","$48,000,000","$95,308,367","$196,308,367","Sony Pictures","Thriller/Suspense","R"
"Taken 3","01/09/2015","$48,000,000","$89,256,424","$327,656,424","20th Century Fox","Action","PG-13"
"The Thomas Crown Affair","08/06/1999","$48,000,000","$69,304,264","$124,304,264","MGM","Drama","R"
"The Bone Collector","11/05/1999","$48,000,000","$66,488,090","$151,463,090","Universal","Thriller/Suspense","R"
"Three Kings","10/01/1999","$48,000,000","$60,652,036","$107,752,036","Warner Bros.","Action","R"
"Tooth Fairy","01/22/2010","$48,000,000","$60,022,256","$112,610,386","20th Century Fox","Adventure","PG"
"Rat Race","08/17/2001","$48,000,000","$56,607,223","$86,607,223","Paramount Pictures","Comedy","PG-13"
"3:10 to Yuma","09/07/2007","$48,000,000","$53,606,916","$71,171,825","Lionsgate","Western","R"
"K-PAX","08/13/2001","$48,000,000","$50,315,140","$50,315,140","Universal","Drama","PG-13"
"Kate and Leopold","12/25/2001","$48,000,000","$47,095,453","$70,937,778","Miramax","Romantic Comedy","PG-13"
"Bedazzled","10/20/2000","$48,000,000","$37,879,996","$90,376,224","20th Century Fox","Comedy","PG-13"
"Out of Sight","06/26/1998","$48,000,000","$37,562,568","$77,562,568","Universal","Drama","R"
"Rambo","01/25/2008","$47,500,000","$42,754,105","$112,214,531","Lionsgate","Action","R"
"The Infiltrator","07/13/2016","$47,500,000","$15,436,808","$18,329,653","Broad Green Pictures","Thriller/Suspense","R"
"Dick Tracy","06/15/1990","$47,000,000","$103,738,726","$162,738,726","Walt Disney","Action","PG"
"Arrival","11/11/2016","$47,000,000","$100,546,139","$203,178,872","Paramount Pictures","Drama","PG-13"
"The Cable Guy","06/14/1996","$47,000,000","$60,240,295","$102,825,796","Sony Pictures","Comedy","PG-13"
"Earth","04/22/2009","$47,000,000","$32,011,576","$116,773,317","Walt Disney","Documentary","G"
"Riding in Cars with Boys","10/19/2001","$47,000,000","$29,781,453","$29,781,453","Sony Pictures","Drama","PG-13"
"Happily N'Ever After","01/05/2007","$47,000,000","$15,849,032","$37,923,818","Lionsgate","Adventure","PG"
"Solaris","11/27/2002","$47,000,000","$14,970,038","$14,970,038","20th Century Fox","Drama","PG-13"
"Jonah Hex","06/18/2010","$47,000,000","$10,547,117","$11,022,696","Warner Bros.","Action","PG-13"
"Mary Reilly","02/23/1996","$47,000,000","$5,707,094","$12,900,000","Sony Pictures","Drama","R"
"Silence","12/23/2016","$46,500,000","$7,100,177","$16,152,151","Paramount Pictures","Drama","R"
"My Best Friend's Wedding","06/20/1997","$46,000,000","$126,813,153","$298,923,419","Sony Pictures","Comedy","PG"
"America's Sweethearts","07/20/2001","$46,000,000","$93,607,673","$160,648,493","Sony Pictures","Romantic Comedy","PG-13"
"Star Trek: First Contact","11/22/1996","$46,000,000","$92,027,888","$150,000,000","Paramount Pictures","Adventure","PG-13"
"Insomnia","05/24/2002","$46,000,000","$67,263,182","$113,622,499","Warner Bros.","Thriller/Suspense","R"
"Prisoners","09/20/2013","$46,000,000","$61,002,302","$113,402,302","Warner Bros.","Thriller/Suspense","R"
"Courage Under Fire","07/12/1996","$46,000,000","$59,003,384","$100,833,145","20th Century Fox","Drama","R"
"Liar Liar","03/21/1997","$45,000,000","$181,410,615","$302,710,615","Universal","Comedy","PG-13"
"A Bug's Life","11/20/1998","$45,000,000","$162,798,565","$363,095,319","Walt Disney","Adventure","G"
"Taken 2","10/05/2012","$45,000,000","$139,854,287","$377,807,404","20th Century Fox","Thriller/Suspense","PG-13"
"The Flintstones","05/27/1994","$45,000,000","$130,531,208","$358,500,000","Universal","Comedy","PG"
"Scary Movie 3","10/24/2003","$45,000,000","$110,000,082","$155,200,000","Miramax/Dimension","Comedy","PG-13"
"Miss Congeniality","12/22/2000","$45,000,000","$106,807,667","$213,420,951","Warner Bros.","Comedy","PG-13"
"Journey to the Center of the Earth","07/11/2008","$45,000,000","$101,704,370","$243,180,937","Warner Bros.","Adventure","PG"
"The Pelican Brief","12/17/1993","$45,000,000","$100,768,056","$187,995,859","Warner Bros.","Drama","PG-13"
"The Princess Diaries 2: Royal Engagement","08/11/2004","$45,000,000","$95,149,435","$122,071,435","Walt Disney","Romantic Comedy","G"
"The Bucket List","12/25/2007","$45,000,000","$93,466,502","$174,807,445","Warner Bros.","Comedy","PG-13"
"The Client","07/20/1994","$45,000,000","$92,115,211","$117,615,211","Warner Bros.","Drama","PG-13"
"The Muppets","11/23/2011","$45,000,000","$88,625,922","$160,971,922","Walt Disney","Adventure","PG"
"Patriot Games","06/05/1992","$45,000,000","$83,287,363","$178,100,000","Paramount Pictures","Action","R"
"Monster-in-Law","05/13/2005","$45,000,000","$82,931,301","$155,931,301","New Line","Comedy","PG-13"
"Training Day","10/05/2001","$45,000,000","$76,261,036","$104,505,362","Warner Bros.","Drama","R"
"The Girl on the Train","10/07/2016","$45,000,000","$75,395,035","$170,327,930","Universal","Thriller/Suspense","R"
"Galaxy Quest","12/24/1999","$45,000,000","$71,423,726","$90,523,726","Dreamworks SKG","Adventure","PG"
"Scary Movie 2","07/04/2001","$45,000,000","$71,277,420","$141,189,101","Miramax/Dimension","Comedy","R"
"Blade","08/21/1998","$45,000,000","$70,141,876","$131,237,688","New Line","Action","R"
"Coach Carter","01/14/2005","$45,000,000","$67,264,877","$76,665,507","Paramount Pictures","Drama","PG-13"
"The Bounty Hunter","03/19/2010","$45,000,000","$67,061,228","$135,808,837","Sony Pictures","Romantic Comedy","PG-13"
"Changing Lanes","04/12/2002","$45,000,000","$66,790,248","$66,790,248","Paramount Pictures","Thriller/Suspense","R"
"Anaconda","04/11/1997","$45,000,000","$65,598,907","$136,998,907","Sony Pictures","Horror","PG-13"
"Underworld: Evolution","01/20/2006","$45,000,000","$62,318,875","$113,417,762","Sony Pictures","Action","R"
"Coyote Ugly","08/04/2000","$45,000,000","$60,786,269","$113,916,474","Walt Disney","Drama","PG-13"
"Love Actually","11/07/2003","$45,000,000","$59,472,278","$247,946,915","Universal","Romantic Comedy","R"
"Jack","08/09/1996","$45,000,000","$58,617,334","$58,617,334","Walt Disney","Drama","PG-13"
"The Specialist","10/07/1994","$45,000,000","$57,362,581","$57,362,581","Warner Bros.","Action","R"
"Office Christmas Party","12/09/2016","$45,000,000","$54,767,494","$91,342,494","Paramount Pictures","Comedy","R"
"Tin Cup","08/16/1996","$45,000,000","$53,854,588","$75,854,588","Warner Bros.","Romantic Comedy","R"
"Yours, Mine and Ours","11/23/2005","$45,000,000","$53,359,917","$72,359,917","Paramount Pictures","Comedy","PG"
"Kicking and Screaming","05/13/2005","$45,000,000","$52,842,724","$55,842,724","Universal","Comedy","PG"
"The Hitchhiker's Guide to the Galaxy","04/29/2005","$45,000,000","$51,019,112","$102,746,214","Walt Disney","Adventure","PG"
"Resident Evil: Extinction","09/21/2007","$45,000,000","$50,648,679","$146,162,920","Sony Pictures","Action","R"
"Fat Albert","12/25/2004","$45,000,000","$48,114,556","$48,563,556","20th Century Fox","Comedy","PG"
"Savages","07/06/2012","$45,000,000","$47,323,100","$80,594,860","Universal","Thriller/Suspense","R"
"The River Wild","09/30/1994","$45,000,000","$46,815,000","$94,215,000","Universal","Action","PG-13"
"Blended","05/23/2014","$45,000,000","$46,290,741","$127,990,741","Warner Bros.","Romantic Comedy","PG-13"
"All Eyez on Me","06/16/2017","$45,000,000","$44,922,302","$54,876,855","Lionsgate","Drama","R"
"Last Holiday","01/13/2006","$45,000,000","$38,399,961","$43,343,247","Paramount Pictures","Comedy","PG-13"
"16 Blocks","03/03/2006","$45,000,000","$36,895,141","$65,595,141","Warner Bros.","Action","PG-13"
"The Indian in the Cupboard","07/14/1995","$45,000,000","$35,627,222","$35,627,222","Paramount Pictures","Adventure","PG"
"Cellular","09/10/2004","$45,000,000","$32,003,620","$61,475,984","New Line","Thriller/Suspense","PG-13"
"The Ant Bully","07/28/2006","$45,000,000","$28,142,535","$49,610,898","Warner Bros.","Adventure","PG"
"Johnny English","07/18/2003","$45,000,000","$28,013,509","$163,126,676","Universal","Adventure","PG"
"Aliens in the Attic","07/31/2009","$45,000,000","$25,200,412","$59,551,283","20th Century Fox","Adventure","PG"
"Across the Universe","09/14/2007","$45,000,000","$24,343,673","$29,367,143","Sony Pictures","Musical","PG-13"
"Revolutionary Road","12/26/2008","$45,000,000","$22,911,480","$79,564,960","Paramount Vantage","Drama","R"
"Babylon A.D.","08/29/2008","$45,000,000","$22,532,572","$70,216,497","20th Century Fox","Action","PG-13"
"Frankenstein","11/04/1994","$45,000,000","$22,006,296","$112,006,296","Sony Pictures","Horror","R"
"The Glimmer Man","10/04/1996","$45,000,000","$20,404,841","$36,404,841","Warner Bros.","Action","R"
"Multiplicity","07/17/1996","$45,000,000","$20,133,326","$20,133,326","Sony Pictures","Comedy","PG-13"
"The Pledge","01/19/2001","$45,000,000","$19,719,930","$29,406,132","Warner Bros.","Drama","R"
"The Producers: The Movie Musical","12/16/2005","$45,000,000","$19,398,532","$32,952,995","Universal","Musical","PG-13"
"The Phantom","06/07/1996","$45,000,000","$17,220,599","$17,220,599","Paramount Pictures","Action","PG"
"Rebound","07/01/2005","$45,000,000","$16,809,014","$17,492,014","20th Century Fox","Comedy","PG"
"The Ghost Writer","02/19/2010","$45,000,000","$15,541,549","$65,532,491","Summit Entertainment","Thriller/Suspense","PG-13"
"All the Pretty Horses","12/22/2000","$45,000,000","$15,527,125","$18,120,267","Miramax","Western","PG-13"
"Bangkok Dangerous","09/05/2008","$45,000,000","$15,298,133","$46,598,133","Lionsgate","Action","R"
"Nixon","12/20/1995","$45,000,000","$13,668,249","$34,668,249","Walt Disney","Drama","R"
"Dredd","09/21/2012","$45,000,000","$13,414,714","$41,467,606","Lionsgate","Action","R"
"The Rum Diary","10/28/2011","$45,000,000","$13,109,815","$21,544,732","FilmDistrict","Drama","R"
"Deep Rising","01/30/1998","$45,000,000","$11,203,026","$11,203,026","Walt Disney","Action","R"
"Johnny English Reborn","10/21/2011","$45,000,000","$8,305,970","$164,539,660","Universal","Adventure","PG"
"Miracle at St. Anna","09/26/2008","$45,000,000","$7,916,887","$9,676,497","Walt Disney","Drama","R"
"Big Trouble","04/05/2002","$45,000,000","$7,262,288","$8,488,871","Walt Disney","Comedy","PG-13"
"Man cheng jin dai huang jin jia","12/21/2006","$45,000,000","$6,566,773","$76,904,429","Sony Pictures Classics","Action","R"
"Love in the Time of Cholera","11/16/2007","$45,000,000","$4,617,608","$31,077,418","New Line","Drama","R"
"Pinocchio","12/25/2002","$45,000,000","$3,681,811","$31,681,811","Miramax","Adventure","G"
"Shadow Conspiracy","01/31/1997","$45,000,000","$2,154,540","$2,154,540","Walt Disney","Thriller/Suspense","R"
"Argo","10/12/2012","$44,500,000","$136,025,503","$227,140,757","Warner Bros.","Thriller/Suspense","R"
"The Fugitive","08/06/1993","$44,000,000","$183,875,760","$353,715,317","Warner Bros.","Thriller/Suspense","PG-13"
"Rambo: First Blood Part II","05/22/1985","$44,000,000","$150,415,432","$300,400,000","Sony/TriStar","Action","R"
"Sleepers","10/18/1996","$44,000,000","$53,300,852","$165,600,852","Warner Bros.","Drama","R"
"Charlie St. Cloud","07/30/2010","$44,000,000","$31,206,263","$48,478,084","Universal","Drama","PG-13"
"The Juror","02/02/1996","$44,000,000","$22,730,924","$22,730,924","Sony Pictures","Thriller/Suspense","R"
"The Interview","02/06/2014","$44,000,000","$6,105,175","$12,342,632","Sony Pictures","Comedy","R"
"The Heat","06/28/2013","$43,000,000","$159,581,587","$229,727,774","20th Century Fox","Comedy","R"
"Finding Forrester","12/19/2000","$43,000,000","$51,768,623","$80,013,623","Sony Pictures","Drama","PG-13"
"28 Days","04/14/2000","$43,000,000","$37,035,515","$62,063,972","Sony Pictures","Comedy","PG-13"
"Danny the Dog","05/13/2005","$43,000,000","$24,537,621","$49,037,621","Focus/Rogue Pictures","Action","R"
"The Sweetest Thing","04/12/2002","$43,000,000","$24,430,272","$63,078,756","Sony Pictures","Romantic Comedy","R"
"A Monster Calls","01/06/2017","$43,000,000","$3,740,823","$46,422,066","Focus Features","Drama","PG-13"
"The Mechanic","01/28/2011","$42,500,000","$29,121,498","$76,347,393","CBS Films","Action","R"
"The Firm","06/30/1993","$42,000,000","$158,340,892","$270,340,892","Paramount Pictures","Thriller/Suspense","R"
"21 Jump Street","03/16/2012","$42,000,000","$138,447,667","$202,812,429","Sony Pictures","Comedy","R"
"Notting Hill","05/28/1999","$42,000,000","$116,089,678","$363,728,226","Universal","Romantic Comedy","PG-13"
"Chicken Run","06/21/2000","$42,000,000","$106,793,915","$227,793,915","Dreamworks SKG","Adventure","G"
"Along Came Polly","01/16/2004","$42,000,000","$88,073,507","$173,044,410","Universal","Romantic Comedy","PG-13"
"Boomerang","07/01/1992","$42,000,000","$70,052,444","$131,052,444","Paramount Pictures","Comedy","R"
"Brüno","07/10/2009","$42,000,000","$60,054,530","$138,708,527","Universal","Comedy","R"
"Cleopatra","06/12/1963","$42,000,000","$57,000,000","$71,000,000","20th Century Fox","Drama","G"
"Snatched","05/12/2017","$42,000,000","$45,852,178","$57,852,177","20th Century Fox","Comedy","R"
"Here Comes the Boom","10/12/2012","$42,000,000","$45,290,318","$73,239,258","Sony Pictures","Comedy","PG"
"High Crimes","04/05/2002","$42,000,000","$41,543,207","$63,781,100","20th Century Fox","Thriller/Suspense","PG-13"
"The Mirror Has Two Faces","11/15/1996","$42,000,000","$41,267,469","$41,267,469","Sony Pictures","Romantic Comedy","PG-13"
"Red Riding Hood","03/11/2011","$42,000,000","$37,662,162","$91,678,442","Warner Bros.","Thriller/Suspense","PG-13"
"The Mothman Prophecies","01/25/2002","$42,000,000","$35,228,696","$56,438,555","Sony Pictures","Thriller/Suspense","PG-13"
"Licence to Kill","07/14/1989","$42,000,000","$34,667,015","$156,167,015","MGM","Action","PG-13"
"One for the Money","01/27/2012","$42,000,000","$26,414,527","$36,197,221","Lionsgate","Comedy","PG-13"
"15 Minutes","03/09/2001","$42,000,000","$24,375,436","$56,331,864","New Line","Thriller/Suspense","R"
"Lord of War","09/16/2005","$42,000,000","$24,149,632","$60,437,727","Lionsgate","Action","R"
"Super Mario Bros.","05/28/1993","$42,000,000","$20,844,907","$20,844,907","Walt Disney","Action","PG"
"Hero","10/02/1992","$42,000,000","$19,487,173","$66,787,173","Sony Pictures","Comedy","PG-13"
"Man on a Ledge","01/27/2012","$42,000,000","$18,620,000","$45,688,337","Lionsgate","Thriller/Suspense","PG-13"
"The Warrior's Way","12/03/2010","$42,000,000","$5,666,340","$8,514,325","Relativity","Western","R"
"McHale's Navy","04/18/1997","$42,000,000","$4,408,420","$4,408,420","Universal","Comedy","PG"
"Micmacs","05/28/2010","$42,000,000","$1,259,693","$11,756,922","Sony Pictures Classics","Comedy","R"
"8 Mile","11/08/2002","$41,000,000","$116,724,075","$245,768,384","Universal","Drama","R"
"A Knight’s Tale","05/11/2001","$41,000,000","$56,083,966","$100,622,586","Sony Pictures","Adventure","PG-13"
"The Medallion","08/22/2003","$41,000,000","$22,108,977","$22,108,977","Sony Pictures","Comedy","PG-13"
"The Big Year","10/14/2011","$41,000,000","$7,204,138","$7,684,524","20th Century Fox","Comedy","PG"
"The Sixth Sense","08/06/1999","$40,000,000","$293,506,292","$672,806,292","Walt Disney","Thriller/Suspense","PG-13"
"Wedding Crashers","07/15/2005","$40,000,000","$209,218,368","$283,218,368","New Line","Comedy","R"
"The Karate Kid","06/11/2010","$40,000,000","$176,591,618","$351,774,938","Sony Pictures","Adventure","PG"
"Fifty Shades of Grey","02/13/2015","$40,000,000","$166,167,230","$570,998,101","Universal","Drama","R"
"The Proposal","06/19/2009","$40,000,000","$163,958,031","$314,709,717","Walt Disney","Romantic Comedy","PG-13"
"American Hustle","12/13/2013","$40,000,000","$150,117,807","$257,878,294","Sony Pictures","Black Comedy","R"
"Cheaper by the Dozen","12/25/2003","$40,000,000","$138,614,544","$190,212,113","20th Century Fox","Comedy","PG"
"Lucy","07/25/2014","$40,000,000","$126,573,960","$457,507,776","Universal","Action","R"
"Lone Survivor","12/25/2013","$40,000,000","$125,095,601","$149,804,632","Universal","Action","R"
"Back to the Future Part II","11/22/1989","$40,000,000","$118,450,002","$332,000,000","Universal","Adventure","PG"
"Double Jeopardy","09/24/1999","$40,000,000","$116,735,231","$177,835,231","Paramount Pictures","Action","R"
"Spy Kids 3-D: Game Over","07/25/2003","$40,000,000","$111,760,631","$167,851,995","Miramax/Dimension","Adventure","PG"
"A Time to Kill","07/24/1996","$40,000,000","$108,766,007","$152,266,007","Warner Bros.","Drama","R"
"A League of Their Own","07/01/1992","$40,000,000","$107,533,925","$132,440,066","Sony Pictures","Comedy","PG"
"The Conjuring 2: The Enfield Poltergeist","06/10/2016","$40,000,000","$102,470,008","$311,270,008","Warner Bros.","Horror","R"
"The Social Network","10/01/2010","$40,000,000","$96,962,694","$224,922,135","Sony Pictures","Drama","PG-13"
"42","04/12/2013","$40,000,000","$95,020,213","$97,470,701","Warner Bros.","Drama","PG-13"
"Julie & Julia","08/07/2009","$40,000,000","$94,125,426","$126,646,119","Sony Pictures","Comedy","PG-13"
"He's Just Not That Into You","02/06/2009","$40,000,000","$93,953,653","$181,053,657","Warner Bros.","Romantic Comedy","PG-13"
"John Wick: Chapter Two","02/10/2017","$40,000,000","$92,029,184","$171,529,184","Lionsgate","Action","R"
"Ride Along 2","01/15/2016","$40,000,000","$90,862,685","$124,827,316","Universal","Comedy","PG-13"
"Scary Movie 4","04/14/2006","$40,000,000","$90,710,620","$178,710,620","Weinstein/Dimension","Comedy","PG-13"
"Get Hard","03/27/2015","$40,000,000","$90,411,453","$106,511,453","Warner Bros.","Comedy","R"
"Scream 3","02/04/2000","$40,000,000","$89,138,076","$161,838,076","Miramax","Horror","R"
"Back to the Future Part III","05/24/1990","$40,000,000","$88,055,283","$244,088,654","Universal","Adventure","PG"
"The Accountant","10/14/2016","$40,000,000","$86,260,045","$153,060,045","Warner Bros.","Thriller/Suspense","R"
"Dumb and Dumber To","11/14/2014","$40,000,000","$86,208,010","$156,553,592","Universal","Comedy","PG-13"
"The Other Woman","04/25/2014","$40,000,000","$83,911,193","$195,111,193","20th Century Fox","Comedy","PG-13"
